from,to,weight
2356,1719,3
2356,200895,3
2356,8836,3
1719,2356,3
1719,200895,3
1719,5860,3
1719,5053,3
1719,7054,3
1719,121278,3
1719,7166,3
200895,2356,3
200895,1719,3
200895,5860,3
200895,5053,3
200895,7054,3
200895,121278,3
200895,7166,3
5860,5053,3
5860,7054,3
5860,121278,3
5860,7166,3
2643,248,3
2643,249,3
2643,250,3
2643,251,3
2643,5805,3
8836,2356,3
8836,1719,3
8836,200895,3
5805,6697,3
5805,231,3
5805,441282,3
5805,57016,3
5805,873,3
5805,8644,3
4337,4338,3
4338,10243,3
10243,55034,3
5092,5860,3
84105,5860,3
5053,5092,3
5053,84105,3
7054,5092,3
7054,84105,3
121278,5092,3
121278,84105,3
7166,5092,3
7166,84105,3
6697,1719,3
6697,200895,3
6697,5860,3
6697,5053,3
6697,7054,3
6697,121278,3
6697,7166,3
231,5860,3
231,5053,3
231,7054,3
231,121278,3
231,7166,3
231,6697,3
441282,5860,3
441282,5053,3
441282,7054,3
441282,121278,3
441282,7166,3
441282,6697,3
57016,5860,3
57016,5053,3
57016,7054,3
57016,121278,3
57016,7166,3
57016,6697,3
873,1719,3
873,200895,3
873,6697,3
8644,231,3
8644,441282,3
8644,57016,3
