from,to,weight
27165,2752,3
27165,1373,3
27165,2746,3
27165,2747,3
2744,2752,3
2744,1373,3
2744,2746,3
2744,2747,3
2752,27165,3
2752,2744,3
2752,790,3
1373,5009,3
5009,445,3
5009,4842,3
5009,4843,3
5009,4846,3
445,435,3
435,383,3
435,384,3
435,4842,3
435,4843,3
435,4846,3
383,5009,3
384,5009,3
100526760,5009,3
95,5009,3
4842,445,3
4842,383,3
4842,384,3
4843,445,3
4843,383,3
4843,384,3
4846,445,3
4846,383,3
4846,384,3
2746,2752,3
2746,1373,3
2746,162417,3
2747,2752,3
2747,1373,3
2747,162417,3
137362,162417,3
137362,2746,3
137362,2747,3
2805,162417,3
2805,2746,3
2805,2747,3
2806,162417,3
2806,2746,3
2806,2747,3
2875,162417,3
2875,2746,3
2875,2747,3
84706,162417,3
84706,2746,3
84706,2747,3
790,5009,3
