from,to,weight
63826,189,3
63826,102724560,3
63826,875,3
63826,6470,3
63826,6472,3
63826,10993,3
63826,113675,3
55349,501,3
501,635,3
635,29958,3
189,63826,3
189,102724560,3
189,875,3
189,2628,3
189,6470,3
189,6472,3
189,10993,3
189,113675,3
189,1610,3
189,23464,3
189,2731,3
189,211,3
189,212,3
189,9380,3
189,27232,3
189,64902,3
26227,29968,3
29958,51268,3
29958,1757,3
29958,27232,3
102724560,1491,3
875,1491,3
2628,2593,3
29968,26227,3
29968,5723,3
51268,189,3
51268,2628,3
51268,6470,3
51268,6472,3
51268,1610,3
51268,23464,3
51268,2731,3
51268,211,3
51268,212,3
51268,27232,3
51268,64902,3
1757,189,3
1757,2628,3
1757,6470,3
1757,6472,3
1757,1610,3
1757,23464,3
1757,2731,3
1757,211,3
1757,212,3
1757,27232,3
1757,64902,3
5723,63826,3
5723,189,3
5723,102724560,3
5723,875,3
5723,6470,3
5723,6472,3
5723,10993,3
5723,113675,3
6470,63826,3
6470,189,3
6470,102724560,3
6470,875,3
6470,2628,3
6470,10993,3
6470,113675,3
6470,1610,3
6470,23464,3
6470,2731,3
6470,211,3
6470,212,3
6470,27232,3
6470,64902,3
6472,63826,3
6472,189,3
6472,102724560,3
6472,875,3
6472,2628,3
6472,10993,3
6472,113675,3
6472,1610,3
6472,23464,3
6472,2731,3
6472,211,3
6472,212,3
6472,27232,3
6472,64902,3
1610,189,3
1610,64902,3
23464,189,3
23464,2628,3
23464,6470,3
23464,6472,3
23464,1610,3
23464,2731,3
23464,211,3
23464,212,3
23464,27232,3
23464,64902,3
2731,275,3
9380,189,3
9380,132158,3
275,6470,3
275,6472,3
275,1738,3
1738,2731,3
27232,189,3
27232,2628,3
27232,51268,3
27232,1757,3
27232,6470,3
27232,6472,3
27232,1610,3
27232,23464,3
27232,2731,3
27232,211,3
27232,212,3
27232,64902,3
64902,189,3
64902,2628,3
64902,6470,3
64902,6472,3
64902,1610,3
64902,23464,3
64902,2731,3
64902,211,3
64902,212,3
64902,27232,3
132158,441531,3
132158,5223,3
132158,5224,3
132158,669,3
441531,26227,3
5223,26227,3
5224,26227,3
669,26227,3
