from,to,weight
25961,23057,3
25961,349565,3
25961,64802,3
25961,93100,3
25961,10135,3
25961,100526794,3
25961,22978,3
25961,284958,3
25961,30833,3
25961,4907,3
25961,56953,3
25961,84618,3
25961,93034,3
83594,23057,3
83594,349565,3
83594,64802,3
83594,93100,3
83594,10135,3
83594,100526794,3
83594,22978,3
83594,284958,3
83594,30833,3
83594,4907,3
83594,56953,3
83594,84618,3
83594,93034,3
23475,23057,3
23475,349565,3
23475,64802,3
23475,93100,3
23475,100526794,3
23475,22978,3
23475,284958,3
23475,30833,3
23475,4907,3
23475,56953,3
23475,84618,3
23475,93034,3
5167,23057,3
5167,349565,3
5167,64802,3
5167,93100,3
5167,10135,3
5167,100526794,3
5167,22978,3
5167,284958,3
5167,30833,3
5167,4907,3
5167,56953,3
5167,84618,3
5167,93034,3
5169,23057,3
5169,349565,3
5169,64802,3
5169,93100,3
5169,10135,3
5169,100526794,3
5169,22978,3
5169,284958,3
5169,30833,3
5169,4907,3
5169,56953,3
5169,84618,3
5169,93034,3
27231,23057,3
27231,349565,3
27231,64802,3
27231,93100,3
27231,10135,3
27231,100526794,3
27231,22978,3
27231,284958,3
27231,30833,3
27231,4907,3
27231,56953,3
27231,84618,3
27231,93034,3
54981,23057,3
54981,349565,3
54981,64802,3
54981,93100,3
54981,10135,3
54981,100526794,3
54981,22978,3
54981,284958,3
54981,30833,3
54981,4907,3
54981,56953,3
54981,84618,3
54981,93034,3
4860,27231,3
4860,54981,3
4860,93100,3
4860,10135,3
4860,4837,3
23057,25961,3
23057,83594,3
23057,5167,3
23057,5169,3
23057,349565,3
23057,64802,3
23057,55191,3
23057,93100,3
23057,10135,3
23057,23098,3
23057,683,3
23057,952,3
23057,133686,3
23057,65220,3
23057,23530,3
23057,22933,3
23057,23408,3
23057,23409,3
23057,23410,3
23057,23411,3
23057,51547,3
23057,51548,3
23057,100526794,3
23057,22978,3
23057,284958,3
23057,30833,3
23057,4907,3
23057,56953,3
23057,84618,3
23057,93034,3
349565,25961,3
349565,83594,3
349565,5167,3
349565,5169,3
349565,23057,3
349565,64802,3
349565,55191,3
349565,93100,3
349565,10135,3
349565,23098,3
349565,683,3
349565,952,3
349565,133686,3
349565,65220,3
349565,23530,3
349565,22933,3
349565,23408,3
349565,23409,3
349565,23410,3
349565,23411,3
349565,51547,3
349565,51548,3
349565,100526794,3
349565,22978,3
349565,284958,3
349565,30833,3
349565,4907,3
349565,56953,3
349565,84618,3
349565,93034,3
64802,25961,3
64802,83594,3
64802,5167,3
64802,5169,3
64802,23057,3
64802,349565,3
64802,55191,3
64802,93100,3
64802,10135,3
64802,23098,3
64802,683,3
64802,952,3
64802,133686,3
64802,65220,3
64802,23530,3
64802,22933,3
64802,23408,3
64802,23409,3
64802,23410,3
64802,23411,3
64802,51547,3
64802,51548,3
64802,100526794,3
64802,22978,3
64802,284958,3
64802,30833,3
64802,4907,3
64802,56953,3
64802,84618,3
64802,93034,3
55191,25961,3
55191,83594,3
55191,5167,3
55191,5169,3
55191,23057,3
55191,349565,3
55191,64802,3
55191,23098,3
55191,683,3
55191,952,3
55191,133686,3
55191,65220,3
55191,23530,3
55191,22933,3
55191,23408,3
55191,23409,3
55191,23410,3
55191,23411,3
55191,51547,3
55191,51548,3
93100,4860,3
93100,23057,3
93100,349565,3
93100,64802,3
93100,100526794,3
93100,22978,3
93100,284958,3
93100,30833,3
93100,4907,3
93100,56953,3
93100,84618,3
93100,93034,3
10135,4860,3
10135,23057,3
10135,349565,3
10135,64802,3
10135,4837,3
10135,100526794,3
10135,22978,3
10135,284958,3
10135,30833,3
10135,4907,3
10135,56953,3
10135,84618,3
10135,93034,3
23098,4860,3
23098,10135,3
23098,4837,3
683,4860,3
683,10135,3
683,4837,3
952,4860,3
952,10135,3
952,4837,3
4837,316,3
133686,683,3
133686,952,3
133686,23530,3
65220,683,3
65220,952,3
65220,23530,3
23530,25961,3
23530,83594,3
23530,5167,3
23530,5169,3
23530,23057,3
23530,349565,3
23530,64802,3
23530,23098,3
23530,683,3
23530,952,3
23530,133686,3
23530,65220,3
23530,22933,3
23530,23408,3
23530,23409,3
23530,23410,3
23530,23411,3
23530,51547,3
23530,51548,3
22933,4860,3
22933,10135,3
22933,4837,3
23408,4860,3
23408,10135,3
23408,4837,3
23409,4860,3
23409,10135,3
23409,4837,3
23410,4860,3
23410,10135,3
23410,4837,3
23411,4860,3
23411,10135,3
23411,4837,3
51547,4860,3
51547,10135,3
51547,4837,3
51548,4860,3
51548,10135,3
51548,4837,3
100526794,27231,3
100526794,54981,3
100526794,4860,3
22978,27231,3
22978,54981,3
22978,4860,3
284958,27231,3
284958,54981,3
284958,4860,3
30833,27231,3
30833,54981,3
30833,4860,3
4907,27231,3
4907,54981,3
4907,4860,3
56953,27231,3
56953,54981,3
56953,4860,3
84618,27231,3
84618,54981,3
84618,4860,3
93034,27231,3
93034,54981,3
93034,4860,3
