from,to,weight
50855,56288,3
50855,2932,2
84552,56288,3
84552,2932,2
84612,56288,3
84612,2932,2
56288,50855,3
56288,84552,3
56288,84612,3
56288,2932,2
56288,5590,3
7852,2770,1
7852,2771,1
7852,2773,1
5879,10298,1
5879,106821730,1
5879,5058,1
5879,5062,1
5879,5063,1
5879,56924,1
5879,57144,1
5879,22885,1
5879,3983,1
5879,84448,1
5880,10298,1
5880,106821730,1
5880,5058,1
5880,5062,1
5880,5063,1
5880,56924,1
5880,57144,1
5880,22885,1
5880,3983,1
5880,84448,1
5881,10298,1
5881,106821730,1
5881,5058,1
5881,5062,1
5881,5063,1
5881,56924,1
5881,57144,1
5881,22885,1
5881,3983,1
5881,84448,1
1630,5747,1
1630,4690,3
1630,5335,1
1630,5336,1
5530,4773,1
5530,4775,1
5530,4776,1
5530,54434,1
5530,54961,1
5530,85464,1
5532,4773,1
5532,4775,1
5532,4776,1
5532,54434,1
5532,54961,1
5532,85464,1
5533,4773,1
5533,4775,1
5533,4776,1
5533,54434,1
5533,54961,1
5533,85464,1
5534,4773,1
5534,4775,1
5534,4776,1
5534,54434,1
5534,54961,1
5534,85464,1
5535,4773,1
5535,4775,1
5535,4776,1
5535,54434,1
5535,54961,1
5535,85464,1
22854,57689,3
9353,6091,1
9353,6092,1
6585,6091,1
6585,6092,1
5747,5594,1
5747,5595,1
5747,1630,1
5747,387,1
5747,137970,1
5747,219699,1
5747,8633,1
5747,90249,1
5747,2534,1
5747,6714,1
998,10298,1
998,106821730,1
998,5058,1
998,5062,1
998,5063,1
998,56924,1
998,57144,1
998,22885,1
998,3983,1
998,84448,1
6093,103910,1
6093,10398,1
6093,10627,1
6093,4636,1
9475,103910,1
9475,10398,1
9475,10627,1
9475,4636,1
10298,5879,1
10298,5880,1
10298,5881,1
10298,4690,3
10298,8440,3
10298,3984,1
10298,3985,1
106821730,5879,1
106821730,5880,1
106821730,5881,1
106821730,4690,3
106821730,8440,3
106821730,3984,1
106821730,3985,1
5058,5879,1
5058,5880,1
5058,5881,1
5058,4690,3
5058,8440,3
5058,3984,1
5058,3985,1
5062,5879,1
5062,5880,1
5062,5881,1
5062,4690,3
5062,8440,3
5062,3984,1
5062,3985,1
5063,5879,1
5063,5880,1
5063,5881,1
5063,4690,3
5063,8440,3
5063,3984,1
5063,3985,1
56924,5879,1
56924,5880,1
56924,5881,1
56924,4690,3
56924,8440,3
56924,3984,1
56924,3985,1
57144,5879,1
57144,5880,1
57144,5881,1
57144,4690,3
57144,8440,3
57144,3984,1
57144,3985,1
387,6093,1
387,9475,1
387,5894,1
3688,5747,1
5921,3265,2
5921,3845,2
5921,4893,2
4690,1630,3
4690,10298,3
4690,106821730,3
4690,5058,3
4690,5062,3
4690,5063,3
4690,56924,3
4690,57144,3
64221,6091,2
6091,10298,1
6091,106821730,1
6091,5058,1
6091,5062,1
6091,5063,1
6091,56924,1
6091,57144,1
6091,23380,1
6091,57522,1
6091,9901,1
6091,8440,1
25791,5879,2
25791,5880,2
25791,5881,2
25791,998,2
25791,387,1
25,6091,1
25,6092,1
25,55740,1
137970,5781,3
219699,5781,3
8633,5781,3
90249,5781,3
1969,5921,1
1969,25791,1
1969,25,1
2041,5921,1
2041,25791,1
2041,25,1
2042,5921,1
2042,25791,1
2042,25,1
2043,5921,1
2043,25791,1
2043,25,1
2044,5921,1
2044,25791,1
2044,25,1
2045,5921,1
2045,25791,1
2045,25,1
2046,5921,1
2046,25791,1
2046,25,1
285220,5921,1
285220,25791,1
285220,25,1
57689,22854,3
6092,10298,1
6092,106821730,1
6092,5058,1
6092,5062,1
6092,5063,1
6092,56924,1
6092,57144,1
6092,23380,1
6092,57522,1
6092,9901,1
6092,8440,1
1947,2047,1
1947,2048,1
1947,2049,1
1947,2050,1
1947,2051,1
1947,5998,3
1947,8440,1
1948,2047,1
1948,2048,1
1948,2049,1
1948,2050,1
1948,2051,1
1948,5998,3
1948,8440,1
1949,2047,1
1949,2048,1
1949,2049,1
1949,2050,1
1949,2051,1
1949,5998,3
1949,8440,1
2047,5921,1
2047,25791,1
2047,25,1
2048,5921,1
2048,25791,1
2048,25,1
2049,5921,1
2049,25791,1
2049,25,1
2050,5921,1
2050,25791,1
2050,25,1
2051,5921,1
2051,25791,1
2051,25,1
8482,3688,1
8482,10154,1
1942,5921,1
1942,1969,1
1942,2041,1
1942,2042,1
1942,2043,1
1942,2044,1
1942,2045,1
1942,2046,1
1942,285220,1
1942,2534,1
1943,5921,1
1943,1969,1
1943,2041,1
1943,2042,1
1943,2043,1
1943,2044,1
1943,2045,1
1943,2046,1
1943,285220,1
1943,2534,1
1944,5921,1
1944,1969,1
