from,to,weight
3688,60,3
3688,71,3
3690,60,3
3690,71,3
3691,60,3
3691,71,3
3693,60,3
3693,71,3
3694,60,3
3694,71,3
3695,60,3
3695,71,3
3696,60,3
3696,71,3
1605,284217,3
1605,3908,3
1605,1756,3
284217,1605,3
3908,1605,3
7137,7134,3
7137,7139,3
7137,70,3
7134,7137,3
7134,7139,3
7139,7137,3
7139,7134,3
7139,7168,3
7139,7169,3
7139,7170,3
7139,7171,3
7168,7139,3
7168,70,3
7169,7139,3
7169,70,3
7170,7139,3
7170,70,3
7171,7139,3
7171,70,3
1756,1605,3
1756,60,3
1756,71,3
1756,1837,3
70,7137,3
70,7168,3
70,7169,3
70,7170,3
70,7171,3
70,4624,3
70,4625,3
4633,4624,3
4633,4625,3
4607,4624,3
4607,4625,3
4634,4624,3
4634,4625,3
60,3688,3
60,3690,3
60,3691,3
60,3693,3
60,3694,3
60,3695,3
60,3696,3
60,1756,3
71,3688,3
71,3690,3
71,3691,3
71,3693,3
71,3694,3
71,3695,3
71,3696,3
71,1756,3
4624,70,3
4624,4633,3
4624,4607,3
4624,4634,3
4625,70,3
4625,4633,3
4625,4607,3
4625,4634,3
6640,1837,3
6641,1837,3
6645,1837,3
1837,1756,3
1837,6640,3
1837,6641,3
1837,6645,3
1837,4842,3
4842,1837,3
4842,859,3
859,4842,3
8082,6444,3
8082,137868,3
8082,6445,3
8082,6443,3
8082,6442,3
8082,8910,3
6444,8082,3
137868,8082,3
6445,8082,3
6443,8082,3
6442,8082,3
8910,8082,3
