from,to,weight
551,554,1
554,2778,1
2778,109,1
2778,112,1
2778,115,1
109,5566,3
109,5567,3
109,5568,3
112,5566,3
112,5567,3
112,5568,3
115,5566,3
115,5567,3
115,5568,3
5566,10488,1
5566,1385,1
5566,148327,1
5566,64764,1
5566,84699,1
5566,90993,1
5566,9586,1
5566,359,1
5566,396,1
5566,397,1
5566,398,1
5567,10488,1
5567,1385,1
5567,148327,1
5567,64764,1
5567,84699,1
5567,90993,1
5567,9586,1
5567,359,1
5567,396,1
5567,397,1
5567,398,1
5568,10488,1
5568,1385,1
5568,148327,1
5568,64764,1
5568,84699,1
5568,90993,1
5568,9586,1
5568,359,1
5568,396,1
5568,397,1
5568,398,1
10488,359,1
1385,359,1
148327,359,1
64764,359,1
84699,359,1
90993,359,1
9586,359,1
6810,6844,3
6844,6810,3
