from,to,weight
7097,4790,1
7097,5970,1
4790,7124,1
4790,3592,1
4790,3593,1
4790,3458,1
5970,7124,1
5970,3592,1
5970,3593,1
5970,3458,1
7100,4790,1
7100,5970,1
51561,3594,1
51561,149233,1
7040,4087,1
7040,4088,1
7040,50943,1
7042,4087,1
7042,4088,1
7042,50943,1
7043,4087,1
7043,4088,1
7043,50943,1
3569,6774,1
3592,3594,1
3592,3595,1
3593,3594,1
3593,3595,1
3458,3459,1
3458,3460,1
3594,6775,1
3594,6774,1
3594,8807,1
3594,8809,1
6775,3558,1
3459,6772,1
3460,6772,1
6772,30009,1
30009,3565,2
30009,3567,2
30009,3595,1
3565,3566,1
3565,3561,1
3566,6778,1
6778,2625,1
6778,3586,1
2625,3458,2
2625,3565,1
2625,3596,1
2625,3567,1
4772,3565,1
4094,3565,1
7099,4790,1
7099,5970,1
149233,6774,1
59067,50615,1
6774,149233,1
6774,59067,1
6774,6097,1
6774,6095,1
3606,8807,1
3606,8809,1
3725,3458,1
3595,6775,1
3595,8807,1
3595,8809,1
3561,6778,1
8807,4790,1
8807,5970,1
8807,3725,1
8809,4790,1
8809,5970,1
8809,3725,1
6097,112744,1
6097,3605,1
6097,50616,1
50615,6774,1
6095,112744,1
6095,3605,1
6095,50616,1
50943,6097,2
