from,to,weight
2917,10681,1
2917,2770,1
2917,2771,1
2917,2773,1
2917,2775,1
2917,2782,1
2917,2783,1
2917,2784,1
2917,2785,1
2917,2786,1
2917,2787,1
2917,2788,1
2917,2790,1
2917,2791,1
2917,2792,1
2917,2793,1
2917,51764,1
2917,54331,1
2917,55970,1
2917,59345,1
2917,94235,1
2918,10681,1
2918,2770,1
2918,2771,1
2918,2773,1
2918,2775,1
2918,2782,1
2918,2783,1
2918,2784,1
2918,2785,1
2918,2786,1
2918,2787,1
2918,2788,1
2918,2790,1
2918,2791,1
2918,2792,1
2918,2793,1
2918,51764,1
2918,54331,1
2918,55970,1
2918,59345,1
2918,94235,1
116443,1742,3
116444,1742,3
2902,1742,3
2903,1742,3
2904,1742,3
2905,1742,3
2906,1742,3
2911,116443,1
2911,116444,1
2911,2902,1
2911,2903,1
2911,2904,1
2911,2905,1
2911,2906,1
2911,2778,1
2911,2776,1
2911,7220,1
2911,9454,3
2911,9455,3
2911,9456,3
2915,116443,1
2915,116444,1
2915,2902,1
2915,2903,1
2915,2904,1
2915,2905,1
2915,2906,1
2915,2778,1
2915,2776,1
2915,7220,1
2915,9454,3
2915,9455,3
2915,9456,3
2912,10681,1
2912,2770,1
2912,2771,1
2912,2773,1
2912,2775,1
2912,2782,1
2912,2783,1
2912,2784,1
2912,2785,1
2912,2786,1
2912,2787,1
2912,2788,1
2912,2790,1
2912,2791,1
2912,2792,1
2912,2793,1
2912,51764,1
2912,54331,1
2912,55970,1
2912,59345,1
2912,94235,1
2912,156,1
2912,157,1
2913,10681,1
2913,2770,1
2913,2771,1
2913,2773,1
2913,2775,1
2913,2782,1
2913,2783,1
2913,2784,1
2913,2785,1
2913,2786,1
2913,2787,1
2913,2788,1
2913,2790,1
2913,2791,1
2913,2792,1
2913,2793,1
2913,51764,1
2913,54331,1
2913,55970,1
2913,59345,1
2913,94235,1
2913,156,1
2913,157,1
2914,10681,1
2914,2770,1
2914,2771,1
2914,2773,1
2914,2775,1
2914,2782,1
2914,2783,1
2914,2784,1
2914,2785,1
2914,2786,1
2914,2787,1
2914,2788,1
2914,2790,1
2914,2791,1
2914,2792,1
2914,2793,1
2914,51764,1
2914,54331,1
2914,55970,1
2914,59345,1
2914,94235,1
2916,2770,1
2916,2771,1
2916,2773,1
2916,2775,1
107,5566,3
107,5567,3
107,5568,3
108,5566,3
108,5567,3
108,5568,3
109,5566,3
109,5567,3
109,5568,3
111,5566,3
111,5567,3
111,5568,3
112,5566,3
112,5567,3
112,5568,3
113,5566,3
113,5567,3
113,5568,3
114,5566,3
114,5567,3
114,5568,3
115,5566,3
115,5567,3
115,5568,3
196883,5566,3
196883,5567,3
196883,5568,3
2778,107,1
2778,108,1
2778,109,1
2778,111,1
2778,112,1
2778,113,1
2778,114,1
2778,115,1
2778,196883,1
2776,23236,1
2776,5330,1
2776,5331,1
2776,5332,1
23236,3708,3
23236,3709,3
23236,3710,3
23236,5578,3
23236,5579,3
23236,5582,3
5330,3708,3
5330,3709,3
5330,3710,3
5330,5578,3
5330,5579,3
5330,5582,3
5331,3708,3
5331,3709,3
5331,3710,3
5331,5578,3
5331,5579,3
5331,5582,3
5332,3708,3
5332,3709,3
5332,3710,3
5332,5578,3
5332,5579,3
5332,5582,3
3708,9454,3
3708,9455,3
3708,9456,3
3709,9454,3
3709,9455,3
3709,9456,3
3710,9454,3
3710,9455,3
