from,to,weight
1371,5498,3
10720,2990,3
10941,2990,3
54490,2990,3
54575,2990,3
54576,2990,3
54577,2990,3
54578,2990,3
54579,2990,3
54600,2990,3
54657,2990,3
54658,2990,3
54659,2990,3
574537,2990,3
7363,2990,3
7364,2990,3
7365,2990,3
7366,2990,3
7367,2990,3
79799,2990,3
644,10720,3
644,10941,3
644,54490,3
644,54575,3
644,54576,3
644,54577,3
644,54578,3
644,54579,3
644,54600,3
644,54657,3
644,54658,3
644,54659,3
644,574537,3
644,7363,3
644,7364,3
644,7365,3
644,7366,3
644,7367,3
644,79799,3
645,10720,3
645,10941,3
645,54490,3
645,54575,3
645,54576,3
645,54577,3
645,54578,3
645,54579,3
645,54600,3
645,54657,3
645,54658,3
645,54659,3
645,574537,3
645,7363,3
645,7364,3
645,7365,3
645,7366,3
645,7367,3
645,79799,3
1352,1355,3
2235,3052,3
2235,1352,3
2235,3162,3
2235,3163,3
5498,2235,3
7389,1371,3
7389,5498,3
7390,7389,3
3145,7390,3
210,3145,3
211,210,3
212,210,3
3162,644,3
3162,645,3
3162,3052,3
3162,1352,3
3162,2235,3
3162,1356,3
3162,2395,3
3162,2495,3
3162,2512,3
3162,341208,3
3162,94033,3
3162,9843,3
3163,644,3
3163,645,3
3163,3052,3
3163,1352,3
3163,2235,3
3163,1356,3
3163,2395,3
3163,2495,3
3163,2512,3
3163,341208,3
3163,94033,3
3163,9843,3
