from,to,weight
5594,56848,1
5594,8877,1
5595,56848,1
5595,8877,1
5604,5594,1
5604,5595,1
5605,5594,1
5605,5595,1
5894,5604,1
5894,5605,1
10000,596,1
10000,4846,1
207,596,1
207,4846,1
208,596,1
208,4846,1
5290,5170,3
5290,5879,1
5290,5880,1
5290,5881,1
5290,5337,3
5290,5338,3
5291,5170,3
5291,5879,1
5291,5880,1
5291,5881,1
5291,5337,3
5291,5338,3
5293,5170,3
5293,5879,1
5293,5880,1
5293,5881,1
5293,5337,3
5293,5338,3
5295,5170,3
5295,5879,1
5295,5880,1
5295,5881,1
5295,5337,3
5295,5338,3
5296,5170,3
5296,5879,1
5296,5880,1
5296,5881,1
5296,5337,3
5296,5338,3
8503,5170,3
8503,5879,1
8503,5880,1
8503,5881,1
8503,5337,3
8503,5338,3
5170,10000,1
5170,207,1
5170,208,1
1901,2770,1
1901,2771,1
1901,2773,1
9294,2770,1
9294,2771,1
9294,2773,1
9294,2776,1
9294,10672,1
9294,2768,1
1903,2770,1
1903,2771,1
1903,2773,1
1903,2776,1
1903,10672,1
1903,2768,1
8698,2770,1
8698,2771,1
8698,2773,1
8698,10672,1
8698,2768,1
53637,2770,1
53637,2771,1
53637,2773,1
53637,10672,1
53637,2768,1
2770,5290,1
2770,5291,1
2770,5293,1
2770,5295,1
2770,5296,1
2770,8503,1
2770,3265,1
2770,3845,1
2770,4893,1
2770,23236,1
2770,5330,1
2770,5331,1
2770,5332,1
2771,5290,1
2771,5291,1
2771,5293,1
2771,5295,1
2771,5296,1
2771,8503,1
2771,3265,1
2771,3845,1
2771,4893,1
2771,23236,1
2771,5330,1
2771,5331,1
2771,5332,1
2773,5290,1
2773,5291,1
2773,5293,1
2773,5295,1
2773,5296,1
2773,8503,1
2773,3265,1
2773,3845,1
2773,4893,1
2773,23236,1
2773,5330,1
2773,5331,1
2773,5332,1
2776,23236,1
2776,5330,1
2776,5331,1
2776,5332,1
10672,387,1
2768,387,1
3265,5894,1
3845,5894,1
4893,5894,1
23236,5578,3
23236,5579,3
23236,5582,3
23236,5581,1
5330,5578,3
5330,5579,3
5330,5582,3
5330,5581,1
5331,5578,3
5331,5579,3
5331,5582,3
5331,5581,1
5332,5578,3
5332,5579,3
5332,5582,3
5332,5581,1
387,6093,1
387,9475,1
6093,5728,1
6093,4790,1
6093,5970,1
9475,5728,1
9475,4790,1
9475,5970,1
7124,7132,1
8439,6610,1
1509,637,1
4217,5599,1
4217,5601,1
4217,5602,1
4217,1432,1
4217,5600,1
4217,5603,1
4217,6300,1
5590,10000,2
5590,207,2
5590,208,2
28227,10000,2
28227,207,2
28227,208,2
28227,596,2
55012,10000,2
55012,207,2
55012,208,2
55012,596,2
5515,10000,2
5515,207,2
5515,208,2
5515,596,2
5516,10000,2
5516,207,2
5516,208,2
5516,596,2
5518,10000,2
5518,207,2
5518,208,2
5518,596,2
5519,10000,2
5519,207,2
5519,208,2
5519,596,2
5520,10000,2
5520,207,2
5520,208,2
5520,596,2
5521,10000,2
5521,207,2
5521,208,2
5521,596,2
5522,10000,2
5522,207,2
5522,208,2
5522,596,2
5523,10000,2
5523,207,2
5523,208,2
5523,596,2
5525,10000,2
5525,207,2
5525,208,2
5525,596,2
5526,10000,2
5526,207,2
5526,208,2
5526,596,2
5527,10000,2
5527,207,2
5527,208,2
5527,596,2
5528,10000,2
5528,207,2
5528,208,2
5528,596,2
5529,10000,2
5529,207,2
5529,208,2
5529,596,2
55844,10000,2
55844,207,2
55844,208,2
55844,596,2
5599,581,1
5601,581,1
5602,581,1
637,581,1
1432,10000,2
1432,207,2
1432,208,2
1432,581,1
5600,10000,2
5600,207,2
5600,208,2
5600,581,1
5603,10000,2
5603,207,2
5603,208,2
5603,581,1
6300,10000,2
6300,207,2
6300,208,2
6300,581,1
7157,596,3
596,7157,3
7132,8439,1
7132,8717,1
134,2770,1
134,2771,1
134,2773,1
140,2770,1
140,2771,1
140,2773,1
4985,2770,1
4985,2771,1
4985,2773,1
624,2770,1
624,2771,1
624,2773,1
2205,2534,3
2206,2534,3
2207,2534,3
5337,56848,1
5337,8877,1
5338,56848,1
5338,8877,1
2534,2205,3
2534,2206,3
2534,2207,3
2534,9846,1
9846,5290,1
9846,5291,1
9846,5293,1
9846,5295,1
9846,5296,1
9846,8503,1
8717,7186,1
7186,56848,1
7186,8877,1
5581,56848,1
5581,8877,1
3827,134,1
3827,140,1
3827,4985,1
3827,624,1
