from,to,weight
1812,2778,1
6531,6804,3
163688,814,1
163688,815,1
163688,816,1
163688,817,1
163688,818,1
163688,5530,1
163688,5532,1
163688,5533,1
163688,5534,1
163688,5535,1
51806,814,1
51806,815,1
51806,816,1
51806,817,1
51806,818,1
51806,5530,1
51806,5532,1
51806,5533,1
51806,5534,1
51806,5535,1
801,814,1
801,815,1
801,816,1
801,817,1
801,818,1
801,5530,1
801,5532,1
801,5533,1
801,5534,1
801,5535,1
805,814,1
805,815,1
805,816,1
805,817,1
805,818,1
805,5530,1
805,5532,1
805,5533,1
805,5534,1
805,5535,1
808,814,1
808,815,1
808,816,1
808,817,1
808,818,1
808,5530,1
808,5532,1
808,5533,1
808,5534,1
808,5535,1
810,814,1
810,815,1
810,816,1
810,817,1
810,818,1
810,5530,1
810,5532,1
810,5533,1
810,5534,1
810,5535,1
91860,814,1
91860,815,1
91860,816,1
91860,817,1
91860,818,1
91860,5530,1
91860,5532,1
91860,5533,1
91860,5534,1
91860,5535,1
814,10488,1
814,1385,1
814,1386,1
814,1388,1
814,148327,1
814,468,1
814,64764,1
814,84699,1
814,90993,1
814,9586,1
815,6531,1
815,10488,1
815,1385,1
815,1386,1
815,1388,1
815,148327,1
815,468,1
815,64764,1
815,84699,1
815,90993,1
815,9586,1
816,6531,1
816,10488,1
816,1385,1
816,1386,1
816,1388,1
816,148327,1
816,468,1
816,64764,1
816,84699,1
816,90993,1
816,9586,1
817,6531,1
817,10488,1
817,1385,1
817,1386,1
817,1388,1
817,148327,1
817,468,1
817,64764,1
817,84699,1
817,90993,1
817,9586,1
818,6531,1
818,10488,1
818,1385,1
818,1386,1
818,1388,1
818,148327,1
818,468,1
818,64764,1
818,84699,1
818,90993,1
818,9586,1
84152,5499,2
84152,5500,2
84152,5501,2
5566,775,1
5566,776,1
5566,116443,1
5566,116444,1
5566,2902,1
5566,2903,1
5566,2904,1
5566,2905,1
5566,2906,1
5566,2890,1
5566,2891,1
5566,2892,1
5566,2893,1
5567,775,1
5567,776,1
5567,116443,1
5567,116444,1
5567,2902,1
5567,2903,1
5567,2904,1
5567,2905,1
5567,2906,1
5567,2890,1
5567,2891,1
5567,2892,1
5567,2893,1
5568,775,1
5568,776,1
5568,116443,1
5568,116444,1
5568,2902,1
5568,2903,1
5568,2904,1
5568,2905,1
5568,2906,1
5568,2890,1
5568,2891,1
5568,2892,1
5568,2893,1
2778,111,1
111,5566,3
111,5567,3
111,5568,3
10488,5173,1
10488,23237,1
10488,2353,1
10488,2354,1
1385,5173,1
1385,23237,1
1385,2353,1
1385,2354,1
1386,5173,1
1386,23237,1
1386,2353,1
1386,2354,1
1388,5173,1
1388,23237,1
1388,2353,1
1388,2354,1
148327,5173,1
148327,23237,1
148327,2353,1
148327,2354,1
468,5173,1
468,23237,1
468,2353,1
468,2354,1
64764,5173,1
64764,23237,1
64764,2353,1
64764,2354,1
84699,5173,1
84699,23237,1
84699,2353,1
84699,2354,1
90993,5173,1
90993,23237,1
90993,2353,1
90993,2354,1
9586,5173,1
9586,23237,1
9586,2353,1
9586,2354,1
5499,10488,2
5499,1385,2
5499,1386,2
5499,1388,2
5499,148327,2
5499,468,2
5499,64764,2
5499,84699,2
5499,90993,2
5499,9586,2
5500,10488,2
5500,1385,2
5500,1386,2
5500,1388,2
5500,148327,2
5500,468,2
5500,64764,2
5500,84699,2
5500,90993,2
5500,9586,2
5501,10488,2
5501,1385,2
5501,1386,2
5501,1388,2
5501,148327,2
5501,468,2
5501,64764,2
5501,84699,2
5501,90993,2
5501,9586,2
6804,6531,3
5578,6531,1
5579,6531,1
5582,6531,1
2354,2353,2
2354,3065,3
2354,3066,3
2354,23411,3
2354,3725,3
3065,2353,2
3065,2354,3
3066,2353,2
3066,2354,3
23411,2353,2
23411,2354,3
3725,2354,3
