from,to,weight
2122,3065,1
2122,3066,1
2122,1487,1
2122,1488,1
861,3065,1
861,3066,1
861,1487,1
861,1488,1
25,4609,3
25,6776,1
25,6777,1
25,2885,1
25,25759,1
25,399694,1
25,53358,1
25,6464,1
25,1398,1
25,1399,1
25,867,1
613,4609,3
613,6776,1
613,6777,1
613,2885,1
613,25759,1
613,399694,1
613,53358,1
613,6464,1
613,1398,1
613,1399,1
613,867,1
7157,1026,3
7157,10912,3
7157,1647,3
7157,4616,3
7157,581,3
7157,578,3
7157,1643,3
7157,51426,3
7040,7048,1
7040,7046,1
7042,7048,1
7042,7046,1
7043,7048,1
7043,7046,1
7048,4088,1
7046,4088,1
6776,598,1
6777,598,1
4089,4088,3
4790,4792,3
5970,4792,3
4792,4790,3
4792,5970,3
4193,7157,2
4193,1029,3
1147,4792,1
3551,4792,1
8517,4792,1
572,598,2
1029,4193,3
1029,1019,3
1029,1021,3
1029,595,3
1026,7157,3
1026,1019,2
1026,1021,2
1026,595,2
6654,3265,1
6654,3845,1
6654,4893,1
6655,3265,1
6655,3845,1
6655,4893,1
2885,6654,1
2885,6655,1
2885,9846,1
9846,5781,1
9846,5290,1
9846,5291,1
9846,5293,1
9846,5295,1
9846,5296,1
9846,8503,1
1398,5290,1
1398,5291,1
1398,5293,1
1398,5295,1
1398,5296,1
1398,8503,1
1399,5290,1
1399,5291,1
1399,5293,1
1399,5295,1
1399,5296,1
1399,8503,1
867,5290,1
867,5291,1
867,5293,1
867,5295,1
867,5296,1
867,8503,1
1869,5925,3
1870,5925,3
1871,5925,3
5925,1869,3
5925,1870,3
5925,1871,3
4088,4089,3
1019,1029,3
1019,5925,1
1021,1029,3
1021,5925,1
595,1029,3
595,5925,1
10000,1027,2
10000,4193,1
10000,1147,1
10000,3551,1
10000,8517,1
10000,572,2
10000,5290,3
10000,5291,3
10000,5293,3
10000,5295,3
10000,5296,3
10000,8503,3
207,1027,2
207,4193,1
207,1147,1
207,3551,1
207,8517,1
207,572,2
207,5290,3
207,5291,3
207,5293,3
207,5295,3
207,5296,3
207,8503,3
208,1027,2
208,4193,1
208,1147,1
208,3551,1
208,8517,1
208,572,2
208,5290,3
208,5291,3
208,5293,3
208,5295,3
208,5296,3
208,8503,3
5290,10000,3
5290,207,3
5290,208,3
5291,10000,3
5291,207,3
5291,208,3
5293,10000,3
5293,207,3
5293,208,3
5295,10000,3
5295,207,3
5295,208,3
5296,10000,3
5296,207,3
5296,208,3
8503,10000,3
8503,207,3
8503,208,3
5604,5594,1
5604,5595,1
5605,5594,1
5605,5595,1
369,5604,1
369,5605,1
5894,5604,1
5894,5605,1
673,5604,1
673,5605,1
3265,369,1
3265,5894,1
3265,673,1
3845,369,1
3845,5894,1
3845,673,1
4893,369,1
4893,5894,1
4893,673,1
10912,7157,3
1647,7157,3
4616,7157,3
581,7157,3
578,7157,3
1643,7157,3
51426,7157,3
