from,to,weight
1432,2353,1
1432,3725,1
5600,2353,1
5600,3725,1
5603,2353,1
5603,3725,1
6300,2353,1
6300,3725,1
2353,7412,1
2353,3383,1
2353,6347,1
2353,4313,1
2353,4318,1
2353,1514,1
2353,6401,1
2353,7124,1
2353,3552,1
2353,3553,1
2353,3458,1
2353,5154,1
2353,5155,1
2353,1906,1
2353,7422,1
3725,7412,1
3725,3383,1
3725,6347,1
3725,4313,1
3725,4318,1
3725,1514,1
3725,6401,1
3725,7124,1
3725,3552,1
3725,3553,1
3725,3458,1
3725,5154,1
3725,5155,1
3725,1906,1
3725,7422,1
10000,4846,1
207,4846,1
208,4846,1
5599,2353,1
5599,3725,1
5601,2353,1
5601,3725,1
5602,2353,1
5602,3725,1
5290,10000,1
5290,207,1
5290,208,1
5290,3674,1
5290,3685,1
5290,3690,1
5291,10000,1
5291,207,1
5291,208,1
5291,3674,1
5291,3685,1
5291,3690,1
5293,10000,1
5293,207,1
5293,208,1
5293,3674,1
5293,3685,1
5293,3690,1
5295,10000,1
5295,207,1
5295,208,1
5295,3674,1
5295,3685,1
5295,3690,1
5296,10000,1
5296,207,1
5296,208,1
5296,3674,1
5296,3685,1
5296,3690,1
8503,10000,1
8503,207,1
8503,208,1
8503,3674,1
8503,3685,1
8503,3690,1
9817,4780,3
4780,9817,3
4780,1728,1
4780,3162,1
4780,119391,1
4780,221357,1
4780,2938,1
4780,2939,1
4780,2940,1
4780,2941,1
4780,2944,1
4780,2946,1
4780,2947,1
4780,2948,1
4780,2949,1
4780,2950,1
4780,2952,1
4780,2953,1
4780,4257,1
4780,4258,1
4780,4259,1
4780,653689,1
4780,9446,1
4780,25828,1
4780,7295,1
4780,8878,1
4780,4846,1
4780,4880,1
4780,445,1
4780,7056,1
4780,5327,1
4780,1843,1
5598,4780,1
4205,10365,1
4208,10365,1
10365,1728,1
10365,3162,1
10365,119391,1
10365,221357,1
10365,2938,1
10365,2939,1
10365,2940,1
10365,2941,1
10365,2944,1
10365,2946,1
10365,2947,1
10365,2948,1
10365,2949,1
10365,2950,1
10365,2952,1
10365,2953,1
10365,4257,1
10365,4258,1
10365,4259,1
10365,653689,1
10365,9446,1
10365,25828,1
10365,7295,1
10365,8878,1
10365,4846,1
10365,4880,1
10365,445,1
10365,7056,1
10365,5327,1
10365,4790,3
10365,5970,3
5609,5599,1
5609,5601,1
5609,5602,1
6416,1432,1
6416,5600,1
6416,5603,1
6416,6300,1
6416,5599,1
6416,5601,1
6416,5602,1
5608,1432,1
5608,5600,1
5608,5603,1
5608,6300,1
652,657,1
652,658,1
652,659,1
652,90,1
652,92,1
652,93,1
657,27035,1
657,1535,1
657,653361,1
657,4688,1
657,5879,1
657,5880,1
657,5881,1
658,27035,1
658,1535,1
658,653361,1
658,4688,1
658,5879,1
658,5880,1
658,5881,1
659,27035,1
659,1535,1
659,653361,1
659,4688,1
659,5879,1
659,5880,1
659,5881,1
90,27035,1
90,1535,1
90,653361,1
90,4688,1
90,5879,1
90,5880,1
90,5881,1
92,27035,1
92,1535,1
92,653361,1
92,4688,1
92,5879,1
92,5880,1
92,5881,1
93,27035,1
93,1535,1
93,653361,1
93,4688,1
93,5879,1
93,5880,1
93,5881,1
5590,5598,2
5590,7157,1
5590,387082,1
5590,6612,1
5590,6613,1
5590,7341,1
5590,51588,3
5607,5598,1
1003,5290,1
1003,5291,1
1003,5293,1
1003,5295,1
1003,5296,1
1003,8503,1
1003,3685,1
1003,3690,1
1003,5562,1
1003,5563,1
5175,5290,1
5175,5291,1
5175,5293,1
5175,5295,1
5175,5296,1
5175,8503,1
5175,3685,1
5175,3690,1
3791,5290,1
3791,5291,1
3791,5293,1
3791,5295,1
3791,5296,1
3791,8503,1
3791,3685,1
3791,3690,1
3791,5562,1
3791,5563,1
1499,5290,1
1499,5291,1
1499,5293,1
1499,5295,1
1499,5296,1
1499,8503,1
1499,5562,1
1499,5563,1
3674,6714,1
3685,6714,1
3685,4790,1
3685,5970,1
3690,6714,1
3690,4790,1
3690,5970,1
6714,5747,1
5747,10000,1
5747,207,1
5747,208,1
5747,9181,1
387,60,1
387,71,1
7157,387082,3
7157,6612,3
7157,6613,3
7157,7341,3
7157,596,2
387082,7157,3
6612,7157,3
6613,7157,3
7341,7157,3
51588,5590,3
51588,7157,1
51588,387082,1
51588,6612,1
51588,6613,1
51588,7341,1
4217,5609,1
4217,6416,1
4217,5608,1
7132,4217,1
7132,6885,1
3554,4217,1
3554,6885,1
7850,4217,1
7850,6885,1
6885,1147,1
6885,3551,1
6885,8517,1
1147,4790,1
1147,5970,1
3551,4790,1
3551,5970,1
8517,4790,1
8517,5970,1
4790,7412,1
4790,3383,1
4790,6347,1
4790,10365,3
4790,4313,1
4790,4318,1
4790,1514,1
4790,6401,1
4790,7124,1
4790,3552,1
4790,3553,1
4790,3458,1
4790,5154,1
4790,5155,1
4790,1906,1
4790,7422,1
5970,7412,1
5970,3383,1
5970,6347,1
5970,10365,3
5970,4313,1
5970,4318,1
5970,1514,1
5970,6401,1
5970,7124,1
5970,3552,1
5970,3553,1
5970,3458,1
5970,5154,1
5970,5155,1
5970,1906,1
5970,7422,1
2817,4846,1
2817,857,1
2817,858,1
2817,859,1
2817,163688,1
2817,51806,1
2817,801,1
2817,805,1
2817,808,1
2817,810,1
2817,91860,1
2817,3320,1
2817,3326,1
2817,7184,1
6382,4846,1
6382,857,1
6382,858,1
6382,859,1
6382,163688,1
6382,51806,1
6382,801,1
6382,805,1
6382,808,1
6382,810,1
6382,91860,1
6382,3320,1
6382,3326,1
6382,7184,1
6383,4846,1
6383,857,1
6383,858,1
6383,859,1
6383,163688,1
6383,51806,1
6383,801,1
6383,805,1
6383,808,1
6383,810,1
6383,91860,1
6383,3320,1
6383,3326,1
6383,7184,1
6385,4846,1
6385,857,1
6385,858,1
6385,859,1
6385,163688,1
6385,51806,1
6385,801,1
6385,805,1
6385,808,1
6385,810,1
6385,91860,1
6385,3320,1
6385,3326,1
6385,7184,1
1843,1432,2
1843,5600,2
1843,5603,2
1843,6300,2
1843,5599,2
1843,5601,2
1843,5602,2
9181,387,1
