from,to,weight
3706,113026,3
3706,5333,3
3706,84812,3
3706,90550,3
3707,113026,3
3707,5333,3
3707,84812,3
3707,90550,3
80271,113026,3
80271,5333,3
80271,84812,3
80271,90550,3
107,5566,3
107,5567,3
107,5568,3
109,5566,3
109,5567,3
109,5568,3
114,5566,3
114,5567,3
114,5568,3
4842,163688,3
4842,51806,3
4842,801,3
4842,805,3
4842,808,3
4842,810,3
4842,91860,3
4843,163688,3
4843,51806,3
4843,801,3
4843,805,3
4843,808,3
4843,810,3
4843,91860,3
4846,163688,3
4846,51806,3
4846,801,3
4846,805,3
4846,808,3
4846,810,3
4846,91860,3
7416,113026,3
7416,5333,3
7416,84812,3
7416,90550,3
7417,113026,3
7417,5333,3
7417,84812,3
7417,90550,3
7419,113026,3
7419,5333,3
7419,84812,3
7419,90550,3
10105,113026,3
10105,5333,3
10105,84812,3
10105,90550,3
6543,113026,3
6543,5333,3
6543,84812,3
6543,90550,3
6546,113026,3
6546,5333,3
6546,84812,3
6546,90550,3
6547,113026,3
6547,5333,3
6547,84812,3
6547,90550,3
57118,163688,3
57118,51806,3
57118,801,3
57118,805,3
57118,808,3
57118,810,3
57118,91860,3
57172,163688,3
57172,51806,3
57172,801,3
57172,805,3
57172,808,3
57172,810,3
57172,91860,3
814,163688,3
814,51806,3
814,801,3
814,805,3
814,808,3
814,810,3
814,91860,3
815,163688,3
815,51806,3
815,801,3
815,805,3
815,808,3
815,810,3
815,91860,3
816,163688,3
816,51806,3
816,801,3
816,805,3
816,808,3
816,810,3
816,91860,3
817,163688,3
817,51806,3
817,801,3
817,805,3
817,808,3
817,810,3
817,91860,3
818,163688,3
818,51806,3
818,801,3
818,805,3
818,808,3
818,810,3
818,91860,3
8536,163688,3
8536,51806,3
8536,801,3
8536,805,3
8536,808,3
8536,810,3
8536,91860,3
5530,163688,3
5530,51806,3
5530,801,3
5530,805,3
5530,808,3
5530,810,3
5530,91860,3
5530,4772,1
5530,4773,1
5530,4775,1
5530,4776,1
5530,7942,1
5532,163688,3
5532,51806,3
5532,801,3
5532,805,3
5532,808,3
5532,810,3
5532,91860,3
5532,4772,1
5532,4773,1
5532,4775,1
5532,4776,1
5532,7942,1
5533,163688,3
5533,51806,3
5533,801,3
5533,805,3
5533,808,3
5533,810,3
5533,91860,3
5533,4772,1
5533,4773,1
5533,4775,1
5533,4776,1
5533,7942,1
5534,163688,3
5534,51806,3
5534,801,3
5534,805,3
5534,808,3
5534,810,3
5534,91860,3
5534,4772,1
5534,4773,1
5534,4775,1
5534,4776,1
5534,7942,1
5535,163688,3
5535,51806,3
5535,801,3
5535,805,3
5535,808,3
5535,810,3
5535,91860,3
5535,4772,1
5535,4773,1
5535,4775,1
5535,4776,1
5535,7942,1
5578,51196,3
5578,5335,3
5578,5336,3
5578,89869,3
5578,113026,3
5578,5333,3
5578,84812,3
5578,23236,3
5578,5330,3
5578,5331,3
5578,5332,3
5578,90550,3
5579,51196,3
5579,5335,3
5579,5336,3
5579,89869,3
5579,113026,3
5579,5333,3
5579,84812,3
5579,23236,3
5579,5330,3
5579,5331,3
5579,5332,3
5579,90550,3
5582,51196,3
5582,5335,3
5582,5336,3
5582,89869,3
5582,113026,3
5582,5333,3
5582,84812,3
5582,23236,3
5582,5330,3
5582,5331,3
5582,5332,3
5582,90550,3
2185,113026,3
2185,5333,3
2185,84812,3
2185,90550,3
219931,952,3
219931,113026,3
219931,5333,3
219931,84812,3
219931,90550,3
53373,952,3
53373,113026,3
53373,5333,3
53373,84812,3
53373,90550,3
952,219931,3
952,53373,3
952,6261,3
952,6262,3
952,6263,3
51196,5578,3
51196,5579,3
51196,5582,3
51196,5335,3
51196,5336,3
51196,89869,3
51196,113026,3
51196,5333,3
51196,84812,3
51196,3708,3
51196,3709,3
51196,3710,3
51196,23236,3
51196,5330,3
51196,5331,3
51196,5332,3
102723407,5335,1
102723407,5336,1
1956,5335,1
1956,5336,1
2064,5335,1
2064,5336,1
2065,5335,1
2065,5336,1
2066,5335,1
2066,5336,1
2260,5335,1
2260,5336,1
2261,5335,1
2261,5336,1
2263,5335,1
2263,5336,1
2264,5335,1
2264,5336,1
2321,5335,1
2321,5336,1
2324,5335,1
2324,5336,1
3791,5335,1
3791,5336,1
4233,5335,1
4233,5336,1
4486,5335,1
4486,5336,1
4914,5335,1
4914,5336,1
4915,5335,1
4915,5336,1
4916,5335,1
4916,5336,1
5156,5335,1
5156,5336,1
5159,5335,1
5159,5336,1
5979,5335,1
5979,5336,1
2767,23236,1
2767,5330,1
2767,5331,1
2767,5332,1
2769,23236,1
2769,5330,1
2769,5331,1
2769,5332,1
2776,23236,1
2776,5330,1
2776,5331,1
2776,5332,1
9630,23236,1
9630,5330,1
9630,5331,1
9630,5332,1
1139,113026,3
1139,5333,3
1139,84812,3
1139,90550,3
116443,113026,3
116443,5333,3
116443,84812,3
116443,90550,3
116444,113026,3
116444,5333,3
116444,84812,3
116444,90550,3
22953,113026,3
22953,5333,3
22953,84812,3
22953,90550,3
2902,113026,3
2902,5333,3
2902,84812,3
2902,90550,3
2903,113026,3
2903,5333,3
2903,84812,3
2903,90550,3
2904,113026,3
2904,5333,3
2904,84812,3
2904,90550,3
2905,113026,3
2905,5333,3
2905,84812,3
2905,90550,3
2906,113026,3
2906,5333,3
2906,84812,3
2906,90550,3
5023,113026,3
5023,5333,3
5023,84812,3
5023,90550,3
5024,113026,3
5024,5333,3
5024,84812,3
5024,90550,3
5025,113026,3
5025,5333,3
5025,84812,3
5025,90550,3
5026,113026,3
5026,5333,3
5026,84812,3
5026,90550,3
5027,113026,3
5027,5333,3
5027,84812,3
5027,90550,3
9127,113026,3
9127,5333,3
9127,84812,3
9127,90550,3
5335,5578,3
5335,5579,3
5335,5582,3
5335,51196,3
5335,89869,3
5335,113026,3
5335,5333,3
5335,84812,3
5335,3708,3
5335,3709,3
5335,3710,3
5335,23236,3
5335,5330,3
5335,5331,3
5335,5332,3
5336,5578,3
5336,5579,3
5336,5582,3
5336,51196,3
5336,89869,3
5336,113026,3
5336,5333,3
5336,84812,3
5336,3708,3
5336,3709,3
5336,3710,3
5336,23236,3
5336,5330,3
5336,5331,3
5336,5332,3
89869,5578,3
89869,5579,3
89869,5582,3
89869,51196,3
89869,5335,3
89869,5336,3
89869,113026,3
89869,5333,3
89869,84812,3
89869,3708,3
89869,3709,3
89869,3710,3
89869,23236,3
89869,5330,3
89869,5331,3
89869,5332,3
113026,5578,3
113026,5579,3
113026,5582,3
113026,51196,3
113026,5335,3
113026,5336,3
113026,89869,3
113026,3708,3
113026,3709,3
113026,3710,3
113026,23236,3
113026,5330,3
113026,5331,3
113026,5332,3
5333,5578,3
5333,5579,3
5333,5582,3
5333,51196,3
5333,5335,3
5333,5336,3
5333,89869,3
5333,3708,3
5333,3709,3
5333,3710,3
5333,23236,3
5333,5330,3
5333,5331,3
5333,5332,3
84812,5578,3
84812,5579,3
84812,5582,3
84812,51196,3
84812,5335,3
84812,5336,3
84812,89869,3
84812,3708,3
84812,3709,3
84812,3710,3
84812,23236,3
84812,5330,3
84812,5331,3
84812,5332,3
3708,51196,3
3708,5335,3
3708,5336,3
3708,89869,3
3708,113026,3
3708,5333,3
3708,84812,3
3708,23236,3
3708,5330,3
3708,5331,3
3708,5332,3
3708,90550,3
3709,51196,3
3709,5335,3
3709,5336,3
3709,89869,3
3709,113026,3
3709,5333,3
3709,84812,3
3709,23236,3
3709,5330,3
3709,5331,3
3709,5332,3
3709,90550,3
3710,51196,3
3710,5335,3
3710,5336,3
3710,89869,3
3710,113026,3
3710,5333,3
3710,84812,3
3710,23236,3
3710,5330,3
3710,5331,3
3710,5332,3
3710,90550,3
5255,163688,3
5255,51806,3
5255,801,3
5255,805,3
5255,808,3
5255,810,3
5255,91860,3
5256,163688,3
5256,51806,3
5256,801,3
5256,805,3
5256,808,3
5256,810,3
5256,91860,3
5257,163688,3
5257,51806,3
5257,801,3
5257,805,3
5257,808,3
5257,810,3
5257,91860,3
5260,163688,3
5260,51806,3
5260,801,3
5260,805,3
5260,808,3
5260,810,3
5260,91860,3
5261,163688,3
5261,51806,3
5261,801,3
5261,805,3
5261,808,3
5261,810,3
5261,91860,3
6261,952,3
6261,113026,3
6261,5333,3
6261,84812,3
6261,90550,3
6261,844,3
6261,845,3
6262,952,3
6262,113026,3
6262,5333,3
6262,84812,3
6262,90550,3
6262,844,3
6262,845,3
6263,952,3
6263,113026,3
6263,5333,3
6263,84812,3
6263,90550,3
6263,844,3
6263,845,3
23236,5578,3
23236,5579,3
23236,5582,3
23236,51196,3
23236,5335,3
23236,5336,3
23236,89869,3
23236,113026,3
23236,5333,3
23236,84812,3
23236,3708,3
23236,3709,3
23236,3710,3
5330,5578,3
5330,5579,3
5330,5582,3
5330,51196,3
5330,5335,3
5330,5336,3
5330,89869,3
5330,113026,3
5330,5333,3
5330,84812,3
5330,3708,3
5330,3709,3
5330,3710,3
5331,5578,3
5331,5579,3
5331,5582,3
5331,51196,3
5331,5335,3
5331,5336,3
5331,89869,3
5331,113026,3
5331,5333,3
5331,84812,3
5331,3708,3
5331,3709,3
5331,3710,3
5332,5578,3
5332,5579,3
5332,5582,3
5332,51196,3
5332,5335,3
5332,5336,3
5332,89869,3
5332,113026,3
5332,5333,3
5332,84812,3
5332,3708,3
5332,3709,3
5332,3710,3
80228,113026,3
80228,5333,3
80228,84812,3
80228,90550,3
84876,113026,3
84876,5333,3
84876,84812,3
84876,90550,3
93129,113026,3
93129,5333,3
93129,84812,3
93129,90550,3
775,113026,3
775,5333,3
775,84812,3
775,6261,1
775,6262,1
775,6263,1
775,90550,3
776,113026,3
776,5333,3
776,84812,3
776,6261,1
776,6262,1
776,6263,1
776,90550,3
778,113026,3
778,5333,3
778,84812,3
778,6261,1
778,6262,1
778,6263,1
778,90550,3
779,113026,3
779,5333,3
779,84812,3
779,6261,1
779,6262,1
779,6263,1
779,90550,3
773,113026,3
773,5333,3
773,84812,3
773,90550,3
774,113026,3
774,5333,3
774,84812,3
774,90550,3
777,113026,3
777,5333,3
777,84812,3
777,90550,3
10800,2767,1
10800,2769,1
10800,2776,1
10800,9630,1
1128,2767,1
1128,2769,1
1128,2776,1
1128,9630,1
1128,2774,1
1128,2778,1
1129,2767,1
1129,2769,1
1129,2776,1
1129,9630,1
1131,2767,1
1131,2769,1
1131,2776,1
1131,9630,1
1131,2774,1
1131,2778,1
146,2767,1
146,2769,1
146,2776,1
146,9630,1
147,2767,1
147,2769,1
147,2776,1
147,9630,1
148,2767,1
148,2769,1
148,2776,1
148,9630,1
185,2767,1
185,2769,1
185,2776,1
185,9630,1
1909,2767,1
1909,2769,1
1909,2776,1
1909,9630,1
1910,2767,1
1910,2769,1
1910,2776,1
1910,9630,1
2149,2767,1
2149,2769,1
2149,2776,1
2149,9630,1
2911,2767,1
2911,2769,1
2911,2776,1
2911,9630,1
2915,2767,1
2915,2769,1
2915,2776,1
2915,9630,1
2925,2767,1
2925,2769,1
2925,2776,1
2925,9630,1
3269,2767,1
3269,2769,1
3269,2776,1
3269,9630,1
3356,2767,1
3356,2769,1
3356,2776,1
3356,9630,1
3357,2767,1
3357,2769,1
3357,2776,1
3357,9630,1
3358,2767,1
3358,2769,1
3358,2776,1
3358,9630,1
3973,2767,1
3973,2769,1
3973,2776,1
3973,9630,1
4923,2767,1
4923,2769,1
4923,2776,1
4923,9630,1
5021,2767,1
5021,2769,1
5021,2776,1
5021,9630,1
552,2767,1
552,2769,1
552,2776,1
552,9630,1
553,2767,1
553,2769,1
553,2776,1
553,9630,1
56413,2767,1
56413,2769,1
56413,2776,1
56413,9630,1
57105,2767,1
57105,2769,1
57105,2776,1
57105,9630,1
5724,2767,1
5724,2769,1
5724,2776,1
5724,9630,1
5731,2767,1
5731,2769,1
5731,2776,1
5731,9630,1
5733,2767,1
5733,2769,1
5733,2776,1
5733,9630,1
5737,2767,1
5737,2769,1
5737,2776,1
5737,9630,1
623,2767,1
623,2769,1
623,2776,1
623,9630,1
624,2767,1
624,2769,1
624,2776,1
624,9630,1
6865,2767,1
6865,2769,1
6865,2776,1
6865,9630,1
6869,2767,1
6869,2769,1
6869,2776,1
6869,9630,1
6870,2767,1
6870,2769,1
6870,2776,1
6870,9630,1
6915,2767,1
6915,2769,1
6915,2776,1
6915,9630,1
7201,2767,1
7201,2769,1
7201,2776,1
7201,9630,1
7852,2767,1
7852,2769,1
7852,2776,1
7852,9630,1
886,2767,1
886,2769,1
886,2776,1
886,9630,1
887,2767,1
887,2769,1
887,2776,1
887,9630,1
163688,107,1
163688,109,1
163688,114,1
163688,5136,1
163688,5137,1
163688,5153,1
163688,4842,3
163688,4843,3
163688,4846,3
163688,57118,3
163688,57172,3
163688,814,3
163688,815,3
163688,816,3
163688,817,3
163688,818,3
163688,8536,3
163688,5530,3
163688,5532,3
163688,5533,3
163688,5534,3
163688,5535,3
163688,340156,1
163688,4638,1
163688,85366,1
163688,91807,1
163688,113026,3
163688,5333,3
163688,84812,3
163688,5255,3
163688,5256,3
163688,5257,3
163688,5260,3
163688,5261,3
