from,to,weight
55331,10715,3
55331,204219,3
55331,253782,3
55331,29956,3
55331,79603,3
55331,91012,3
55331,123099,3
55331,8560,3
55331,56848,3
55331,8877,3
130367,427,3
130367,56624,3
130367,10715,3
130367,204219,3
130367,253782,3
130367,29956,3
130367,79603,3
130367,91012,3
130367,123099,3
130367,8560,3
130367,64781,3
130367,7368,3
130367,7357,3
130367,125981,3
130367,340485,3
130367,56848,3
130367,8877,3
130367,166929,3
130367,259230,3
81537,427,3
81537,56624,3
81537,10715,3
81537,204219,3
81537,253782,3
81537,29956,3
81537,79603,3
81537,91012,3
81537,123099,3
81537,8560,3
81537,64781,3
81537,7368,3
81537,7357,3
81537,125981,3
81537,340485,3
81537,56848,3
81537,8877,3
81537,166929,3
81537,259230,3
427,10715,3
427,204219,3
427,253782,3
427,29956,3
427,79603,3
427,91012,3
427,123099,3
427,8560,3
427,7368,3
427,56848,3
427,8877,3
56624,10715,3
56624,204219,3
56624,253782,3
56624,29956,3
56624,79603,3
56624,91012,3
56624,123099,3
56624,8560,3
56624,7368,3
56624,56848,3
56624,8877,3
10715,55331,3
10715,427,3
10715,56624,3
10715,123099,3
10715,8560,3
10715,64781,3
10715,7368,3
10715,7357,3
10715,125981,3
10715,340485,3
10715,166929,3
10715,259230,3
204219,55331,3
204219,427,3
204219,56624,3
204219,123099,3
204219,8560,3
204219,64781,3
204219,7368,3
204219,7357,3
204219,125981,3
204219,340485,3
204219,166929,3
204219,259230,3
253782,55331,3
253782,427,3
253782,56624,3
253782,123099,3
253782,8560,3
253782,64781,3
253782,7368,3
253782,7357,3
253782,125981,3
253782,340485,3
253782,166929,3
253782,259230,3
29956,55331,3
29956,427,3
29956,56624,3
29956,123099,3
29956,8560,3
29956,64781,3
29956,7368,3
29956,7357,3
29956,125981,3
29956,340485,3
29956,166929,3
29956,259230,3
79603,55331,3
79603,427,3
79603,56624,3
79603,123099,3
79603,8560,3
79603,64781,3
79603,7368,3
79603,7357,3
79603,125981,3
79603,340485,3
79603,166929,3
79603,259230,3
91012,55331,3
91012,427,3
91012,56624,3
91012,123099,3
91012,8560,3
91012,64781,3
91012,7368,3
91012,7357,3
91012,125981,3
91012,340485,3
91012,166929,3
91012,259230,3
123099,427,3
123099,56624,3
123099,64781,3
123099,7368,3
123099,7357,3
123099,125981,3
123099,340485,3
123099,166929,3
123099,259230,3
8560,427,3
8560,56624,3
8560,64781,3
8560,7368,3
8560,7357,3
8560,125981,3
8560,340485,3
8560,166929,3
8560,259230,3
339221,427,3
339221,56624,3
339221,64781,3
339221,7368,3
339221,7357,3
339221,125981,3
339221,340485,3
339221,166929,3
339221,259230,3
55512,427,3
55512,56624,3
55512,64781,3
55512,7368,3
55512,7357,3
55512,125981,3
55512,340485,3
55512,166929,3
55512,259230,3
55627,427,3
55627,56624,3
55627,64781,3
55627,7368,3
55627,7357,3
55627,125981,3
55627,340485,3
55627,166929,3
55627,259230,3
6609,427,3
6609,56624,3
6609,64781,3
6609,7368,3
6609,7357,3
6609,125981,3
6609,340485,3
6609,166929,3
6609,259230,3
6610,427,3
6610,56624,3
6610,64781,3
6610,7368,3
6610,7357,3
6610,125981,3
6610,340485,3
6610,166929,3
6610,259230,3
64781,130367,3
64781,81537,3
64781,8611,3
64781,8612,3
64781,8613,3
8611,427,3
8611,56624,3
8611,10715,3
8611,204219,3
8611,253782,3
8611,29956,3
8611,79603,3
8611,91012,3
8611,123099,3
8611,8560,3
8611,64781,3
8611,7368,3
8611,7357,3
8611,125981,3
8611,340485,3
8611,56848,3
8611,8877,3
8611,166929,3
8611,259230,3
8612,427,3
8612,56624,3
8612,10715,3
8612,204219,3
8612,253782,3
8612,29956,3
8612,79603,3
8612,91012,3
8612,123099,3
8612,8560,3
8612,64781,3
8612,7368,3
8612,7357,3
8612,125981,3
8612,340485,3
8612,56848,3
8612,8877,3
8612,166929,3
8612,259230,3
8613,427,3
8613,56624,3
8613,10715,3
8613,204219,3
8613,253782,3
8613,29956,3
8613,79603,3
8613,91012,3
8613,123099,3
8613,8560,3
8613,64781,3
8613,7368,3
8613,7357,3
8613,125981,3
8613,340485,3
8613,56848,3
8613,8877,3
8613,166929,3
8613,259230,3
10558,2531,3
55304,2531,3
9517,2531,3
2531,10715,3
2531,204219,3
2531,253782,3
2531,29956,3
2531,79603,3
2531,91012,3
2531,123099,3
2531,8560,3
2531,56848,3
2531,8877,3
9514,410,3
9514,2583,3
2717,9514,3
2717,2720,3
2717,2581,3
10825,9514,3
10825,2720,3
10825,2581,3
129807,9514,3
129807,2720,3
129807,2581,3
4758,9514,3
4758,2720,3
4758,2581,3
4759,9514,3
4759,2720,3
4759,2581,3
7368,9514,3
7368,2581,3
2720,2629,3
2720,57704,3
2720,9331,3
2720,9334,3
2720,3073,3
2720,3074,3
2629,427,3
2629,56624,3
2629,10715,3
2629,204219,3
2629,253782,3
2629,29956,3
2629,79603,3
2629,91012,3
2629,64781,3
2629,7368,3
2629,7357,3
2629,125981,3
2629,340485,3
2629,56848,3
2629,8877,3
2629,166929,3
2629,259230,3
57704,427,3
57704,56624,3
57704,10715,3
57704,204219,3
57704,253782,3
57704,29956,3
57704,79603,3
57704,91012,3
57704,64781,3
57704,7368,3
57704,7357,3
57704,125981,3
57704,340485,3
57704,56848,3
57704,8877,3
57704,166929,3
57704,259230,3
7357,2629,3
7357,57704,3
7357,9331,3
7357,9334,3
125981,10715,3
125981,204219,3
125981,253782,3
125981,29956,3
125981,79603,3
125981,91012,3
125981,7368,3
125981,56848,3
125981,8877,3
340485,10715,3
340485,204219,3
340485,253782,3
340485,29956,3
340485,79603,3
340485,91012,3
340485,7368,3
340485,56848,3
340485,8877,3
56848,130367,3
56848,81537,3
56848,8611,3
56848,8612,3
56848,8613,3
56848,8879,3
8877,130367,3
8877,81537,3
8877,8611,3
8877,8612,3
8877,8613,3
8877,8879,3
2581,427,3
2581,56624,3
2581,10715,3
2581,204219,3
2581,253782,3
2581,29956,3
2581,79603,3
2581,91012,3
2581,64781,3
2581,7368,3
2581,7357,3
2581,125981,3
2581,340485,3
2581,56848,3
2581,8877,3
2581,166929,3
2581,259230,3
410,9514,3
410,2720,3
410,2581,3
9331,9514,3
