from,to,weight
7132,7186,1
7132,7188,1
7132,8737,1
7132,8717,1
7124,7132,1
4792,4790,3
4792,5970,3
4793,4790,3
4793,5970,3
1147,4792,1
1147,4793,1
3551,4792,1
3551,4793,1
7186,8737,1
7186,10454,1
7186,23118,1
7186,257397,1
7186,6885,1
7188,10454,1
7188,23118,1
7188,257397,1
7188,6885,1
8737,10454,1
8737,23118,1
8737,257397,1
8737,6885,1
8717,10454,1
8717,23118,1
8717,257397,1
8717,6885,1
3554,7189,3
3553,3554,1
7189,10454,1
7189,23118,1
7189,257397,1
7189,6885,1
7099,7189,3
10454,1147,1
10454,3551,1
23118,1147,1
23118,3551,1
257397,1147,1
257397,3551,1
6885,1147,1
6885,3551,1
5594,9252,1
5595,9252,1
126961,3576,1
3020,3576,1
3021,3576,1
333932,3576,1
440093,3576,1
653604,3576,1
8290,3576,1
8350,3576,1
8351,3576,1
8352,3576,1
8353,3576,1
8354,3576,1
8355,3576,1
8356,3576,1
8357,3576,1
8358,3576,1
8968,3576,1
4790,7124,1
4790,4792,3
4790,4793,3
4790,3576,1
4790,92610,1
7100,7189,3
8517,4792,1
8517,4793,1
10392,8767,1
8767,1147,1
8767,3551,1
8767,5599,3
8767,5601,3
8767,5602,3
8767,596,3
9181,8767,1
5580,7186,3
5581,7186,3
5588,7186,3
8915,7189,1
10892,7189,1
7335,7186,1
7335,7188,1
7335,7189,1
7336,7186,1
7336,7188,1
7336,7189,1
389898,7186,1
389898,7188,1
389898,7189,1
7334,7186,1
7334,7188,1
7334,7189,1
10318,8517,2
102724594,3553,1
102724594,3576,1
102724594,6352,1
102724594,1437,1
199746,3553,1
199746,3576,1
199746,6352,1
199746,1437,1
7307,3553,1
7307,3576,1
7307,6352,1
7307,1437,1
929,7099,1
6500,4792,1
6500,4793,1
8454,4792,1
8454,4793,1
9978,4792,1
9978,4793,1
23291,4792,1
23291,4793,1
8945,4792,1
8945,4793,1
51619,4792,1
51619,4793,1
7321,4792,1
7321,4793,1
7322,4792,1
7322,4793,1
7323,4792,1
7323,4793,1
11335,3576,1
9252,126961,1
9252,3020,1
9252,3021,1
9252,333932,1
9252,440093,1
9252,653604,1
9252,8290,1
9252,8350,1
9252,8351,1
9252,8352,1
9252,8353,1
9252,8354,1
9252,8355,1
9252,8356,1
9252,8357,1
9252,8358,1
9252,8968,1
9252,11335,1
5599,3725,1
5601,3725,1
5602,3725,1
92610,7189,1
10616,8737,1
55072,8737,1
81858,8737,1
4671,58484,1
58484,29108,1
58484,834,1
834,3553,1
834,3606,1
114548,29108,1
114548,834,1
11146,58484,2
11146,114548,2
115004,340061,3
340061,115004,3
340061,29110,1
29110,3661,1
3661,3456,1
375,340061,1
375,10163,1
375,8936,1
4615,29110,3
5970,7124,1
5970,4792,3
5970,4793,3
5970,3576,1
5970,92610,1
10325,2475,1
10325,57521,1
10325,84335,1
10670,2475,1
10670,57521,1
10670,84335,1
58528,2475,1
58528,57521,1
58528,84335,1
64121,2475,1
64121,57521,1
64121,84335,1
55054,440738,3
55054,643246,3
55054,81631,3
55054,84557,3
9474,440738,1
9474,643246,1
9474,81631,1
9474,84557,1
9474,25851,3
9140,440738,1
9140,643246,1
9140,81631,1
9140,84557,1
440738,10241,3
440738,8878,3
643246,10241,3
643246,8878,3
81631,10241,3
81631,8878,3
84557,10241,3
84557,8878,3
10241,440738,3
10241,643246,3
10241,81631,3
10241,84557,3
10241,6233,3
10241,7311,3
10241,7314,3
10241,7316,3
10241,10801,3
10241,124404,3
10241,23157,3
10241,23176,3
10241,4735,3
10241,55752,3
10241,55964,3
10241,989,3
8878,440738,3
8878,643246,3
8878,81631,3
8878,84557,3
8878,6233,3
8878,7311,3
8878,7314,3
8878,7316,3
8878,10801,3
8878,124404,3
8878,23157,3
8878,23176,3
8878,4735,3
8878,55752,3
8878,55964,3
8878,989,3
718,55054,3
6233,10241,3
6233,8878,3
7311,10241,3
7311,8878,3
7314,10241,3
7314,8878,3
7316,10241,3
7316,8878,3
10801,10241,3
10801,8878,3
124404,10241,3
124404,8878,3
23157,10241,3
23157,8878,3
23176,10241,3
23176,8878,3
4735,10241,3
4735,8878,3
55752,10241,3
55752,8878,3
55964,10241,3
55964,8878,3
989,10241,3
989,8878,3
26100,25851,3
55062,25851,3
25851,9474,3
25851,26100,3
25851,55062,3
23048,10241,3
23048,8878,3
54874,10241,3
54874,8878,3
5879,10163,1
5879,8936,1
1793,5879,1
1398,63916,1
1398,9844,1
1399,63916,1
1399,9844,1
2017,1398,1
2017,1399,1
2017,10092,1
2017,10093,1
2017,10094,1
2017,10095,1
2017,10096,1
2017,10097,1
2017,10109,1
2017,10552,1
2017,57180,1
2017,653857,1
2017,81873,1
3059,1398,1
3059,1399,1
3059,10092,1
3059,10093,1
3059,10094,1
3059,10095,1
3059,10096,1
3059,10097,1
3059,10109,1
3059,10552,1
3059,57180,1
3059,653857,1
3059,81873,1
6714,1398,1
6714,1399,1
6714,2017,1
6714,3059,1
6714,387,3
6714,7094,3
6714,83660,3
6714,5829,1
6714,9564,1
63916,5879,1
9844,5879,1
998,8976,3
10163,10092,1
10163,10093,1
10163,10094,1
10163,10095,1
10163,10096,1
10163,10097,1
10163,10109,1
10163,10552,1
10163,57180,1
10163,653857,1
10163,81873,1
8936,10092,1
8936,10093,1
8936,10094,1
8936,10095,1
8936,10096,1
8936,10097,1
8936,10109,1
8936,10552,1
8936,57180,1
8936,653857,1
8936,81873,1
10092,60,1
10092,71,1
10093,60,1
10093,71,1
10094,60,1
10094,71,1
10095,60,1
10095,71,1
10096,60,1
10096,71,1
10097,60,1
10097,71,1
10109,60,1
10109,71,1
10552,60,1
10552,71,1
57180,60,1
57180,71,1
653857,60,1
653857,71,1
81873,60,1
81873,71,1
6093,103910,1
6093,10398,1
6093,10627,1
6093,29895,1
6093,4633,1
6093,4636,1
6093,58498,1
6093,93408,1
9475,103910,1
9475,10398,1
9475,10627,1
9475,29895,1
9475,4633,1
9475,4636,1
9475,58498,1
9475,93408,1
1729,60,3
1729,71,3
387,6093,1
387,9475,1
387,1729,1
27128,382,1
9265,382,1
9266,382,1
9267,382,1
382,375,1
7414,60,1
7414,71,1
