from,to,weight
5578,2902,3
5578,2903,3
5578,2904,3
5578,2905,3
5578,2906,3
5578,23236,3
5578,5330,3
5578,5331,3
5578,5332,3
5579,2902,3
5579,2903,3
5579,2904,3
5579,2905,3
5579,2906,3
5579,23236,3
5579,5330,3
5579,5331,3
5579,5332,3
5582,2902,3
5582,2903,3
5582,2904,3
5582,2905,3
5582,2906,3
5582,23236,3
5582,5330,3
5582,5331,3
5582,5332,3
814,1387,1
814,2033,1
1387,468,3
2033,468,3
815,2890,1
815,2891,1
815,5594,3
815,5595,3
815,2911,1
815,2915,1
816,2890,1
816,2891,1
816,5594,3
816,5595,3
816,2911,1
816,2915,1
817,2890,1
817,2891,1
817,5594,3
817,5595,3
817,2911,1
817,2915,1
818,2890,1
818,2891,1
818,5594,3
818,5595,3
818,2911,1
818,2915,1
5530,5502,2
5532,5502,2
5533,5502,2
5534,5502,2
5535,5502,2
163688,814,1
163688,815,1
163688,816,1
163688,817,1
163688,818,1
163688,5530,1
163688,5532,1
163688,5533,1
163688,5534,1
163688,5535,1
163688,2902,3
163688,2903,3
163688,2904,3
163688,2905,3
163688,2906,3
163688,775,3
163688,107,1
163688,114,1
163688,3265,1
163688,3845,1
163688,4893,1
163688,3708,3
163688,3709,3
163688,3710,3
51806,814,1
51806,815,1
51806,816,1
51806,817,1
51806,818,1
51806,5530,1
51806,5532,1
51806,5533,1
51806,5534,1
51806,5535,1
51806,2902,3
51806,2903,3
51806,2904,3
51806,2905,3
51806,2906,3
51806,775,3
51806,107,1
51806,114,1
51806,3265,1
51806,3845,1
51806,4893,1
51806,3708,3
51806,3709,3
51806,3710,3
801,814,1
801,815,1
801,816,1
801,817,1
801,818,1
801,5530,1
801,5532,1
801,5533,1
801,5534,1
801,5535,1
801,2902,3
801,2903,3
801,2904,3
801,2905,3
801,2906,3
801,775,3
801,107,1
801,114,1
801,3265,1
801,3845,1
801,4893,1
801,3708,3
801,3709,3
801,3710,3
805,814,1
805,815,1
805,816,1
805,817,1
805,818,1
805,5530,1
805,5532,1
805,5533,1
805,5534,1
805,5535,1
805,2902,3
805,2903,3
805,2904,3
805,2905,3
805,2906,3
805,775,3
805,107,1
805,114,1
805,3265,1
805,3845,1
805,4893,1
805,3708,3
805,3709,3
805,3710,3
808,814,1
808,815,1
808,816,1
