from,to,weight
199857,56052,3
54344,10195,3
8818,10195,3
29929,79053,3
79087,79796,3
79796,29929,3
79796,79087,3
10195,79796,3
146664,25834,3
4249,25834,3
57171,54344,3
57171,8818,3
57171,29880,3
57171,8813,3
57171,1798,3
2530,2683,3
2530,8703,3
2530,8704,3
2683,6480,3
2683,84620,3
8703,6480,3
8703,84620,3
8704,6480,3
8704,84620,3
4247,2530,3
4247,4248,3
4247,11282,3
4247,11320,3
4247,152586,3
4122,4247,3
4124,4247,3
11253,10905,3
11253,4121,3
11253,57134,3
11282,146664,3
11282,4249,3
11320,146664,3
11320,4249,3
152586,146664,3
152586,4249,3
23193,11253,3
7841,23193,3
440138,10195,3
201595,57171,3
201595,7841,3
3703,57171,3
3703,7841,3
29880,29929,3
85365,440138,3
56052,85365,3
79868,56052,3
8813,10195,3
1798,199857,3
1798,79868,3
22845,54344,3
22845,8818,3
22845,29880,3
22845,8813,3
22845,1798,3
144245,201595,3
144245,3703,3
144245,1603,3
144245,1650,3
144245,58505,3
144245,6184,3
144245,6185,3
144245,746,3
144245,7991,3
144245,84061,3
84920,201595,3
84920,3703,3
84920,1603,3
84920,1650,3
84920,58505,3
84920,6184,3
84920,6185,3
84920,746,3
84920,7991,3
84920,84061,3
79053,144245,3
79053,84920,3
10905,4245,3
4121,4245,3
57134,4245,3
4245,4122,3
4245,4124,3
1603,57171,3
1603,7841,3
1650,57171,3
1650,7841,3
58505,57171,3
58505,7841,3
6184,57171,3
6184,7841,3
6185,57171,3
6185,7841,3
746,57171,3
746,7841,3
7991,57171,3
7991,7841,3
84061,57171,3
84061,7841,3
79644,22845,3
