from,to,weight
5621,4684,3
5621,4685,3
5621,3915,3
5621,10963,1
5621,6647,1
5621,581,2
5621,2534,1
5621,4851,1
5621,3309,2
5621,6261,1
5621,6262,1
5621,6263,1
5621,3708,1
5621,3709,1
5621,3710,1
5621,143471,2
5621,5682,2
5621,5683,2
5621,5684,2
5621,5685,2
5621,5686,2
5621,5687,2
5621,5688,2
5621,5689,2
5621,5690,2
5621,5691,2
5621,5692,2
5621,5693,2
5621,5694,2
5621,5695,2
5621,10213,2
5621,11047,2
5621,5700,2
5621,5701,2
5621,5702,2
5621,5704,2
5621,5705,2
5621,5706,2
5621,5707,2
5621,5708,2
5621,5709,2
5621,5710,2
5621,5713,2
5621,5714,2
5621,5715,2
5621,5717,2
5621,5718,2
5621,5719,2
5621,7979,2
5621,9861,2
5621,2932,1
5621,774,2
5621,775,2
5621,776,2
5621,778,2
5621,779,2
5621,1457,1
5621,1459,1
5621,1460,1
5621,283106,1
5621,857,1
5621,858,1
5621,859,1
4684,5621,3
4685,5621,3
3915,5621,3
10963,5566,3
10963,5567,3
10963,5568,3
2534,5290,1
2534,5291,1
2534,5293,1
2534,5295,1
2534,5296,1
2534,8503,1
5594,468,1
5594,10488,1
5594,1385,1
5594,1386,1
5594,1388,1
5594,148327,1
5594,64764,1
5594,84699,1
5594,90993,1
5594,9586,1
5595,468,1
5595,10488,1
5595,1385,1
5595,1386,1
5595,1388,1
5595,148327,1
5595,64764,1
5595,84699,1
5595,90993,1
5595,9586,1
1958,6352,1
100506742,836,1
3309,5621,3
3309,9451,2
842,836,1
54205,842,1
317,842,1
9451,1965,1
1965,468,1
468,1958,1
468,1649,1
2932,147700,2
2932,3798,2
2932,3799,2
2932,3800,2
2932,3831,2
2932,64837,2
2932,89953,2
5530,572,1
5532,572,1
5533,572,1
5534,572,1
5535,572,1
1457,147700,2
1457,3798,2
1457,3799,2
1457,3800,2
1457,3831,2
1457,64837,2
1457,89953,2
1459,147700,2
1459,3798,2
1459,3799,2
1459,3800,2
1459,3831,2
1459,64837,2
1459,89953,2
1460,147700,2
1460,3798,2
1460,3799,2
1460,3800,2
1460,3831,2
1460,64837,2
1460,89953,2
283106,147700,2
283106,3798,2
283106,3799,2
283106,3800,2
283106,3831,2
283106,64837,2
283106,89953,2
857,2534,1
858,2534,1
859,2534,1
5290,5580,1
5291,5580,1
5293,5580,1
5295,5580,1
5296,5580,1
8503,5580,1
5580,1536,1
5580,1535,1
5580,653361,1
5580,4688,1
5580,5879,1
5580,5880,1
5580,4689,1
10488,1958,1
1385,1958,1
1386,1958,1
1388,1958,1
148327,1958,1
64764,1958,1
84699,1958,1
90993,1958,1
9586,1958,1
1536,5594,1
1536,5595,1
1535,5594,1
1535,5595,1
653361,5594,1
653361,5595,1
4688,5594,1
4688,5595,1
5879,5594,1
5879,5595,1
5880,5594,1
5880,5595,1
4689,5594,1
4689,5595,1
