from,to,weight
23236,5578,3
23236,5579,3
23236,5582,3
23236,3708,3
23236,3709,3
23236,3710,3
5330,5578,3
5330,5579,3
5330,5582,3
5330,3708,3
5330,3709,3
5330,3710,3
5331,5578,3
5331,5579,3
5331,5582,3
5331,3708,3
5331,3709,3
5331,3710,3
5332,5578,3
5332,5579,3
5332,5582,3
5332,3708,3
5332,3709,3
5332,3710,3
2776,23236,1
2776,5330,1
2776,5331,1
2776,5332,1
5578,7222,2
5579,7222,2
5582,7222,2
2911,2776,1
2911,10524,3
2911,6095,3
3708,10524,3
3708,6095,3
342371,10524,2
342371,23369,3
342371,9698,3
6310,10524,2
6310,23369,3
6310,9698,3
10524,2911,3
10524,3708,3
10524,7222,3
10524,487,3
10524,488,3
10524,489,3
10524,6511,3
6095,2911,3
6095,3708,3
6095,7222,3
6095,487,3
6095,488,3
6095,489,3
6095,6511,3
7222,5578,3
7222,5579,3
7222,5582,3
7222,10524,3
7222,6095,3
11273,3708,1
11273,3709,1
11273,3710,1
4287,3708,1
4287,3709,1
4287,3710,1
4287,441925,3
4287,8678,3
4287,143471,2
4287,5682,2
4287,5683,2
4287,5684,2
4287,5685,2
4287,5686,2
4287,5687,2
4287,5688,2
4287,5689,2
4287,5690,2
4287,5691,2
4287,5692,2
4287,5693,2
4287,5694,2
4287,5695,2
4287,10213,2
4287,11047,2
4287,5700,2
4287,5701,2
4287,5702,2
4287,5704,2
4287,5705,2
4287,5706,2
4287,5707,2
4287,5708,2
4287,5709,2
4287,5710,2
4287,5713,2
4287,5714,2
4287,5715,2
4287,5717,2
4287,5718,2
4287,5719,2
4287,7979,2
4287,9861,2
6311,3708,1
6311,3709,1
6311,3710,1
92552,3708,1
92552,3709,1
92552,3710,1
92552,441925,3
92552,8678,3
92552,143471,2
92552,5682,2
92552,5683,2
92552,5684,2
92552,5685,2
92552,5686,2
92552,5687,2
92552,5688,2
92552,5689,2
92552,5690,2
92552,5691,2
92552,5692,2
92552,5693,2
92552,5694,2
92552,5695,2
92552,10213,2
92552,11047,2
92552,5700,2
92552,5701,2
92552,5702,2
92552,5704,2
92552,5705,2
92552,5706,2
92552,5707,2
92552,5708,2
92552,5709,2
92552,5710,2
92552,5713,2
92552,5714,2
92552,5715,2
92552,5717,2
92552,5718,2
92552,5719,2
92552,7979,2
92552,9861,2
6712,2911,2
2081,4217,1
7186,4217,1
4217,5599,1
4217,5601,1
4217,5602,1
2475,8408,2
2475,9706,2
23130,26100,3
23130,55062,3
55102,26100,3
55102,55062,3
26100,23130,3
26100,55102,3
55062,23130,3
55062,55102,3
55626,441925,1
55626,8678,1
441925,4287,3
441925,92552,3
8678,4287,3
8678,92552,3
5289,26100,3
5289,55062,3
115209,4976,1
487,10524,3
487,6095,3
488,10524,3
488,6095,3
489,10524,3
489,6095,3
23369,342371,3
23369,6310,3
9698,342371,3
9698,6310,3
5173,116443,1
5173,116444,1
5173,2902,1
5173,2903,1
5173,2904,1
5173,2905,1
5173,2906,1
7436,1600,3
1600,7436,3
1600,5290,1
1600,5291,1
1600,5293,1
1600,5295,1
1600,5296,1
1600,8503,1
5290,10000,1
5290,207,1
5290,208,1
5291,10000,1
5291,207,1
5291,208,1
5293,10000,1
5293,207,1
5293,208,1
5295,10000,1
5295,207,1
5295,208,1
5296,10000,1
5296,207,1
5296,208,1
8503,10000,1
8503,207,1
8503,208,1
5649,7436,1
6511,10524,3
6511,6095,3
387332,11317,2
387332,3516,2
387332,6667,2
387332,2959,2
387332,4800,2
387332,7494,3
387332,4654,3
6908,11317,2
6908,3516,2
6908,6667,2
6908,2959,2
6908,4800,2
6908,7494,3
6908,4654,3
9519,11317,2
9519,3516,2
9519,6667,2
9519,2959,2
9519,4800,2
9519,7494,3
9519,4654,3
7494,387332,3
7494,6908,3
7494,9519,3
4654,387332,3
4654,6908,3
4654,9519,3
