from,to,weight
80834,83756,3
80834,2784,1
80834,346562,1
80834,51764,1
23236,3710,3
5330,3710,3
5331,3710,3
5332,3710,3
6326,255022,1
6328,255022,1
6335,255022,1
342372,9033,3
80835,83756,3
80835,2784,1
80835,346562,1
80835,51764,1
83756,80834,3
83756,80835,3
83756,2784,1
83756,346562,1
83756,51764,1
9033,342372,3
1131,255022,1
170572,3350,3
170572,3351,3
170572,3352,3
170572,3354,3
170572,3355,3
200909,3350,3
200909,3351,3
200909,3352,3
200909,3354,3
200909,3355,3
285242,3350,3
285242,3351,3
285242,3352,3
285242,3354,3
285242,3355,3
3359,3350,3
3359,3351,3
3359,3352,3
3359,3354,3
3359,3355,3
9177,3350,3
9177,3351,3
9177,3352,3
9177,3354,3
9177,3355,3
112,5566,3
112,5567,3
112,5568,3
114,5566,3
114,5567,3
114,5568,3
196883,5566,3
196883,5567,3
196883,5568,3
2784,23236,1
2784,5330,1
2784,5331,1
2784,5332,1
2784,5136,1
2784,5137,1
2784,5153,1
346562,23236,1
346562,5330,1
346562,5331,1
346562,5332,1
346562,5136,1
346562,5137,1
346562,5153,1
51764,23236,1
51764,5330,1
51764,5331,1
51764,5332,1
51764,5136,1
51764,5137,1
51764,5153,1
