from,to,weight
2650,9334,3
6482,10610,3
6482,55808,3
6482,256435,3
6482,27090,3
6483,10610,3
6483,55808,3
6483,256435,3
6483,27090,3
192134,9245,3
100528030,2650,3
100528030,55808,3
100528030,192134,3
100528030,29071,3
100528030,56913,3
100528030,728819,3
11226,2650,3
11226,55808,3
11226,192134,3
11226,29071,3
11226,56913,3
11226,728819,3
11227,2650,3
11227,55808,3
11227,192134,3
11227,29071,3
11227,56913,3
11227,728819,3
114805,2650,3
114805,55808,3
114805,192134,3
114805,29071,3
114805,56913,3
114805,728819,3
117248,2650,3
117248,55808,3
117248,192134,3
117248,29071,3
117248,56913,3
117248,728819,3
168391,2650,3
168391,55808,3
168391,192134,3
168391,29071,3
168391,56913,3
168391,728819,3
2589,2650,3
2589,55808,3
2589,192134,3
2589,29071,3
2589,56913,3
2589,728819,3
2590,2650,3
2590,55808,3
2590,192134,3
2590,29071,3
2590,56913,3
2590,728819,3
2591,2650,3
2591,55808,3
2591,192134,3
2591,29071,3
2591,56913,3
2591,728819,3
26290,2650,3
26290,55808,3
26290,192134,3
26290,29071,3
26290,56913,3
26290,728819,3
374378,2650,3
374378,55808,3
374378,192134,3
374378,29071,3
374378,56913,3
374378,728819,3
442117,2650,3
442117,55808,3
442117,192134,3
442117,29071,3
442117,56913,3
442117,728819,3
50614,2650,3
50614,55808,3
50614,192134,3
50614,29071,3
50614,56913,3
50614,728819,3
51809,2650,3
51809,55808,3
51809,192134,3
51809,29071,3
51809,56913,3
51809,728819,3
55568,2650,3
55568,55808,3
55568,192134,3
55568,29071,3
55568,56913,3
55568,728819,3
57452,2650,3
57452,55808,3
57452,192134,3
57452,29071,3
57452,56913,3
57452,728819,3
63917,2650,3
63917,55808,3
63917,192134,3
63917,29071,3
63917,56913,3
63917,728819,3
64409,2650,3
64409,55808,3
64409,192134,3
64409,29071,3
64409,56913,3
64409,728819,3
79623,2650,3
79623,55808,3
79623,192134,3
79623,29071,3
79623,56913,3
79623,728819,3
79695,2650,3
79695,55808,3
79695,192134,3
79695,29071,3
79695,56913,3
79695,728819,3
8693,2650,3
8693,55808,3
8693,192134,3
8693,29071,3
8693,56913,3
8693,728819,3
29071,9245,3
29071,2650,3
29071,10610,3
29071,55808,3
29071,6482,3
29071,6483,3
29071,51301,3
29071,10331,3
56913,9245,3
56913,2650,3
56913,10610,3
56913,55808,3
56913,6482,3
56913,6483,3
56913,51301,3
56913,10331,3
728819,9245,3
728819,2650,3
728819,10610,3
728819,55808,3
728819,6482,3
728819,6483,3
728819,51301,3
728819,10331,3
