from,to,weight
55586,10327,3
7358,10720,3
7358,10941,3
7358,54490,3
7358,54575,3
7358,54576,3
7358,54577,3
7358,54578,3
7358,54579,3
7358,54600,3
7358,54657,3
7358,54658,3
7358,54659,3
7358,574537,3
7358,7363,3
7358,7364,3
7358,7365,3
7358,7366,3
7358,7367,3
7358,79799,3
9104,10327,3
10720,10941,3
10720,54490,3
10720,54575,3
10720,54576,3
10720,54577,3
10720,54578,3
10720,54579,3
10720,54600,3
10720,54657,3
10720,54658,3
10720,54659,3
10720,574537,3
10720,7363,3
10720,7364,3
10720,7365,3
10720,7366,3
10720,7367,3
10720,79799,3
10720,10327,3
10720,2990,3
10720,9365,3
10941,10720,3
10941,54490,3
10941,54575,3
10941,54576,3
10941,54577,3
10941,54578,3
10941,54579,3
10941,54600,3
10941,54657,3
10941,54658,3
10941,54659,3
10941,574537,3
10941,7363,3
10941,7364,3
10941,7365,3
10941,7366,3
10941,7367,3
10941,79799,3
10941,10327,3
10941,2990,3
10941,9365,3
54490,10720,3
54490,10941,3
54490,54575,3
54490,54576,3
54490,54577,3
54490,54578,3
54490,54579,3
54490,54600,3
54490,54657,3
54490,54658,3
54490,54659,3
54490,574537,3
54490,7363,3
54490,7364,3
54490,7365,3
54490,7366,3
54490,7367,3
54490,79799,3
54490,10327,3
54490,2990,3
54490,9365,3
54575,10720,3
54575,10941,3
54575,54490,3
54575,54576,3
54575,54577,3
54575,54578,3
54575,54579,3
54575,54600,3
54575,54657,3
54575,54658,3
54575,54659,3
54575,574537,3
54575,7363,3
54575,7364,3
54575,7365,3
54575,7366,3
54575,7367,3
54575,79799,3
54575,10327,3
54575,2990,3
54575,9365,3
54576,10720,3
54576,10941,3
54576,54490,3
54576,54575,3
54576,54577,3
54576,54578,3
54576,54579,3
54576,54600,3
54576,54657,3
54576,54658,3
54576,54659,3
54576,574537,3
54576,7363,3
54576,7364,3
54576,7365,3
54576,7366,3
54576,7367,3
54576,79799,3
54576,10327,3
54576,2990,3
54576,9365,3
54577,10720,3
54577,10941,3
54577,54490,3
54577,54575,3
54577,54576,3
54577,54578,3
54577,54579,3
54577,54600,3
54577,54657,3
54577,54658,3
54577,54659,3
54577,574537,3
54577,7363,3
54577,7364,3
54577,7365,3
54577,7366,3
54577,7367,3
54577,79799,3
54577,10327,3
54577,2990,3
54577,9365,3
54578,10720,3
54578,10941,3
54578,54490,3
54578,54575,3
54578,54576,3
54578,54577,3
54578,54579,3
54578,54600,3
54578,54657,3
54578,54658,3
54578,54659,3
54578,574537,3
54578,7363,3
54578,7364,3
54578,7365,3
54578,7366,3
54578,7367,3
54578,79799,3
54578,10327,3
54578,2990,3
54578,9365,3
54579,10720,3
54579,10941,3
54579,54490,3
54579,54575,3
54579,54576,3
54579,54577,3
54579,54578,3
54579,54600,3
54579,54657,3
54579,54658,3
54579,54659,3
54579,574537,3
54579,7363,3
54579,7364,3
54579,7365,3
54579,7366,3
54579,7367,3
54579,79799,3
54579,10327,3
54579,2990,3
54579,9365,3
54600,10720,3
54600,10941,3
54600,54490,3
54600,54575,3
54600,54576,3
54600,54577,3
54600,54578,3
54600,54579,3
54600,54657,3
54600,54658,3
54600,54659,3
54600,574537,3
54600,7363,3
54600,7364,3
54600,7365,3
54600,7366,3
54600,7367,3
54600,79799,3
54600,10327,3
54600,2990,3
54600,9365,3
54657,10720,3
54657,10941,3
54657,54490,3
54657,54575,3
54657,54576,3
54657,54577,3
54657,54578,3
54657,54579,3
54657,54600,3
54657,54658,3
54657,54659,3
54657,574537,3
54657,7363,3
54657,7364,3
54657,7365,3
54657,7366,3
54657,7367,3
54657,79799,3
54657,10327,3
54657,2990,3
54657,9365,3
54658,10720,3
54658,10941,3
54658,54490,3
54658,54575,3
54658,54576,3
54658,54577,3
54658,54578,3
54658,54579,3
54658,54600,3
54658,54657,3
54658,54659,3
54658,574537,3
54658,7363,3
54658,7364,3
54658,7365,3
54658,7366,3
54658,7367,3
54658,79799,3
54658,10327,3
54658,2990,3
54658,9365,3
54659,10720,3
54659,10941,3
54659,54490,3
54659,54575,3
54659,54576,3
54659,54577,3
54659,54578,3
54659,54579,3
54659,54600,3
54659,54657,3
54659,54658,3
54659,574537,3
54659,7363,3
54659,7364,3
54659,7365,3
54659,7366,3
54659,7367,3
54659,79799,3
54659,10327,3
54659,2990,3
54659,9365,3
574537,10720,3
574537,10941,3
574537,54490,3
574537,54575,3
574537,54576,3
574537,54577,3
574537,54578,3
574537,54579,3
574537,54600,3
574537,54657,3
574537,54658,3
574537,54659,3
574537,7363,3
574537,7364,3
574537,7365,3
574537,7366,3
574537,7367,3
574537,79799,3
574537,10327,3
574537,2990,3
574537,9365,3
7363,10720,3
7363,10941,3
7363,54490,3
7363,54575,3
7363,54576,3
7363,54577,3
7363,54578,3
7363,54579,3
7363,54600,3
7363,54657,3
7363,54658,3
7363,54659,3
7363,574537,3
7363,7364,3
7363,7365,3
7363,7366,3
7363,7367,3
7363,79799,3
7363,10327,3
7363,2990,3
7363,9365,3
7364,10720,3
7364,10941,3
7364,54490,3
7364,54575,3
7364,54576,3
7364,54577,3
7364,54578,3
7364,54579,3
7364,54600,3
7364,54657,3
7364,54658,3
7364,54659,3
7364,574537,3
7364,7363,3
7364,7365,3
7364,7366,3
7364,7367,3
7364,79799,3
7364,10327,3
7364,2990,3
7364,9365,3
7365,10720,3
7365,10941,3
7365,54490,3
7365,54575,3
7365,54576,3
7365,54577,3
7365,54578,3
7365,54579,3
7365,54600,3
7365,54657,3
7365,54658,3
7365,54659,3
7365,574537,3
7365,7363,3
7365,7364,3
7365,7366,3
7365,7367,3
7365,79799,3
7365,10327,3
7365,2990,3
7365,9365,3
7366,10720,3
7366,10941,3
7366,54490,3
7366,54575,3
7366,54576,3
7366,54577,3
7366,54578,3
7366,54579,3
7366,54600,3
7366,54657,3
7366,54658,3
7366,54659,3
7366,574537,3
7366,7363,3
7366,7364,3
7366,7365,3
7366,7367,3
7366,79799,3
7366,10327,3
7366,2990,3
7366,9365,3
7367,10720,3
7367,10941,3
7367,54490,3
7367,54575,3
7367,54576,3
7367,54577,3
7367,54578,3
7367,54579,3
7367,54600,3
7367,54657,3
7367,54658,3
7367,54659,3
7367,574537,3
7367,7363,3
7367,7364,3
7367,7365,3
7367,7366,3
7367,79799,3
7367,10327,3
7367,2990,3
7367,9365,3
79799,10720,3
79799,10941,3
79799,54490,3
79799,54575,3
79799,54576,3
79799,54577,3
79799,54578,3
79799,54579,3
79799,54600,3
79799,54657,3
79799,54658,3
79799,54659,3
79799,574537,3
79799,7363,3
79799,7364,3
79799,7365,3
79799,7366,3
79799,7367,3
79799,10327,3
79799,2990,3
79799,9365,3
10327,9104,3
2990,10327,3
9365,10327,3
