from,to,value
IGH,HLA-DMA,3
IGH,HLA-DMB,3
IGH,HLA-DOA,3
IGH,HLA-DOB,3
IGH,HLA-DPA1,3
IGH,HLA-DPB1,3
IGH,HLA-DQA1,3
IGH,HLA-DQA2,3
IGH,HLA-DQB1,3
IGH,HLA-DRA,3
IGH,HLA-DRB1,3
IGH,HLA-DRB3,3
IGH,HLA-DRB4,3
IGH,HLA-DRB5,3
CD40LG,CD40,1
HLA-DMA,IGH,3
HLA-DMB,IGH,3
HLA-DOA,IGH,3
HLA-DOB,IGH,3
HLA-DPA1,IGH,3
HLA-DPB1,IGH,3
HLA-DQA1,IGH,3
HLA-DQA2,IGH,3
HLA-DQB1,IGH,3
HLA-DRA,IGH,3
HLA-DRB1,IGH,3
HLA-DRB3,IGH,3
HLA-DRB4,IGH,3
HLA-DRB5,IGH,3
HLA-A,IGH,3
HLA-B,IGH,3
HLA-C,IGH,3
HLA-E,IGH,3
HLA-F,IGH,3
HLA-G,IGH,3
FASLG,FAS,1
CD80,CD28,1
CD86,CD28,1
IGH,HLA-A,3
IGH,HLA-B,3
IGH,HLA-C,3
IGH,HLA-E,3
IGH,HLA-F,3
IGH,HLA-G,3
