from,to,weight
ACER3,CERS1,3
ACER3,CERS3,3
ACER3,CERS6,3
ACER3,CERS2,3
ACER3,CERS4,3
ACER3,CERS5,3
ACER3,DEGS2,3
ACER3,DEGS1,3
ACER3,SPHK2,3
ACER3,SPHK1,3
SGPP2,ASAH1,3
SGPP2,ASAH2,3
SGPP2,CERS1,3
SGPP2,CERS3,3
SGPP2,CERS6,3
SGPP2,CERS2,3
SGPP2,CERS4,3
SGPP2,CERS5,3
SGPP2,DEGS2,3
SGPP2,DEGS1,3
SGPP2,CERK,3
SGPP2,UGT8,3
SGPP2,UGCG,3
SGPP2,ACER1,3
SGPP2,ACER2,3
SGPP2,SPHK2,3
SGPP2,SPHK1,3
SGPP2,SGMS2,3
SGPP2,SGMS1,3
SGPP1,ASAH1,3
SGPP1,ASAH2,3
SGPP1,CERS1,3
SGPP1,CERS3,3
SGPP1,CERS6,3
SGPP1,CERS2,3
SGPP1,CERS4,3
SGPP1,CERS5,3
SGPP1,DEGS2,3
SGPP1,DEGS1,3
SGPP1,CERK,3
SGPP1,UGT8,3
SGPP1,UGCG,3
SGPP1,ACER1,3
SGPP1,ACER2,3
SGPP1,SPHK2,3
SGPP1,SPHK1,3
SGPP1,SGMS2,3
SGPP1,SGMS1,3
ASAH1,CERS1,3
ASAH1,CERS3,3
ASAH1,CERS6,3
ASAH1,CERS2,3
ASAH1,CERS4,3
ASAH1,CERS5,3
ASAH1,DEGS2,3
ASAH1,DEGS1,3
ASAH1,UGT8,3
ASAH1,SPHK2,3
ASAH1,SPHK1,3
ASAH2,CERS1,3
ASAH2,CERS3,3
ASAH2,CERS6,3
ASAH2,CERS2,3
ASAH2,CERS4,3
ASAH2,CERS5,3
ASAH2,DEGS2,3
ASAH2,DEGS1,3
ASAH2,UGT8,3
ASAH2,SPHK2,3
ASAH2,SPHK1,3
CERS1,ACER3,3
CERS1,ASAH1,3
CERS1,ASAH2,3
CERS1,DEGS2,3
CERS1,DEGS1,3
CERS1,CERK,3
CERS1,UGT8,3
CERS1,UGCG,3
CERS1,ACER1,3
CERS1,ACER2,3
CERS1,SGMS2,3
CERS1,SGMS1,3
CERS3,ACER3,3
CERS3,ASAH1,3
CERS3,ASAH2,3
CERS3,DEGS2,3
CERS3,DEGS1,3
CERS3,CERK,3
CERS3,UGT8,3
CERS3,UGCG,3
CERS3,ACER1,3
CERS3,ACER2,3
CERS3,SGMS2,3
CERS3,SGMS1,3
CERS6,ACER3,3
CERS6,ASAH1,3
CERS6,ASAH2,3
CERS6,DEGS2,3
CERS6,DEGS1,3
CERS6,CERK,3
CERS6,UGT8,3
CERS6,UGCG,3
CERS6,ACER1,3
CERS6,ACER2,3
CERS6,SGMS2,3
CERS6,SGMS1,3
CERS2,ACER3,3
CERS2,ASAH1,3
CERS2,ASAH2,3
CERS2,DEGS2,3
CERS2,DEGS1,3
CERS2,CERK,3
CERS2,UGT8,3
CERS2,UGCG,3
CERS2,ACER1,3
CERS2,ACER2,3
CERS2,SGMS2,3
CERS2,SGMS1,3
CERS4,ACER3,3
CERS4,ASAH1,3
CERS4,ASAH2,3
CERS4,DEGS2,3
CERS4,DEGS1,3
CERS4,CERK,3
CERS4,UGT8,3
CERS4,UGCG,3
CERS4,ACER1,3
CERS4,ACER2,3
CERS4,SGMS2,3
CERS4,SGMS1,3
CERS5,ACER3,3
CERS5,ASAH1,3
CERS5,ASAH2,3
CERS5,DEGS2,3
CERS5,DEGS1,3
CERS5,CERK,3
CERS5,UGT8,3
CERS5,UGCG,3
CERS5,ACER1,3
CERS5,ACER2,3
CERS5,SGMS2,3
CERS5,SGMS1,3
DEGS2,ASAH1,3
DEGS2,ASAH2,3
DEGS2,CERK,3
DEGS2,UGT8,3
DEGS2,UGCG,3
DEGS2,ACER1,3
DEGS2,ACER2,3
DEGS2,SGMS2,3
DEGS2,SGMS1,3
DEGS1,ASAH1,3
DEGS1,ASAH2,3
DEGS1,CERK,3
DEGS1,UGT8,3
DEGS1,UGCG,3
DEGS1,ACER1,3
DEGS1,ACER2,3
DEGS1,SGMS2,3
DEGS1,SGMS1,3
ENPP7,ASAH1,3
ENPP7,ASAH2,3
ENPP7,CERK,3
ENPP7,UGT8,3
ENPP7,UGCG,3
ENPP7,ACER1,3
ENPP7,ACER2,3
ENPP7,SGMS2,3
ENPP7,SGMS1,3
SMPD3,ASAH1,3
SMPD3,ASAH2,3
SMPD3,CERK,3
SMPD3,UGT8,3
SMPD3,UGCG,3
SMPD3,ACER1,3
SMPD3,ACER2,3
SMPD3,SGMS2,3
SMPD3,SGMS1,3
SMPD4,ASAH1,3
SMPD4,ASAH2,3
SMPD4,CERK,3
SMPD4,UGT8,3
SMPD4,UGCG,3
SMPD4,ACER1,3
SMPD4,ACER2,3
SMPD4,SGMS2,3
SMPD4,SGMS1,3
SMPD1,ASAH1,3
SMPD1,ASAH2,3
SMPD1,CERK,3
SMPD1,UGT8,3
SMPD1,UGCG,3
SMPD1,ACER1,3
SMPD1,ACER2,3
SMPD1,SGMS2,3
SMPD1,SGMS1,3
SMPD2,ASAH1,3
SMPD2,ASAH2,3
SMPD2,CERK,3
SMPD2,UGT8,3
SMPD2,UGCG,3
SMPD2,ACER1,3
SMPD2,ACER2,3
SMPD2,SGMS2,3
SMPD2,SGMS1,3
CERK,SGPP2,3
CERK,SGPP1,3
CERK,PLPP1,3
CERK,PLPP2,3
CERK,PLPP3,3
PLPP1,ASAH1,3
PLPP1,ASAH2,3
PLPP1,CERS1,3
PLPP1,CERS3,3
PLPP1,CERS6,3
PLPP1,CERS2,3
PLPP1,CERS4,3
PLPP1,CERS5,3
PLPP1,DEGS2,3
