from,to,weight
ACADS,ECHS1,3
ACADS,EHHADH,3
ACADS,HADHA,3
ACADS,ACOX1,3
ACADS,ACOX3,3
ECHS1,ACADS,3
ECHS1,HIBCH,3
ECHS1,ACOX1,3
ECHS1,ACOX3,3
EHHADH,ACADS,3
EHHADH,HIBCH,3
EHHADH,ACOX1,3
EHHADH,ACOX3,3
HADHA,ACADS,3
HADHA,HIBCH,3
HADHA,ACOX1,3
HADHA,ACOX3,3
HIBCH,ECHS1,3
HIBCH,EHHADH,3
HIBCH,HADHA,3
ABAT,ALDH6A1,3
ABAT,CARNS1,3
ABAT,UPB1,3
CARNS1,ABAT,3
CARNS1,UPB1,3
CARNS1,CNDP1,3
CARNS1,CNDP2,3
GAD1,ABAT,3
GAD1,CARNS1,3
GAD1,UPB1,3
GAD2,ABAT,3
GAD2,CARNS1,3
GAD2,UPB1,3
GADL1,ABAT,3
GADL1,CARNS1,3
GADL1,UPB1,3
CSAD,ABAT,3
CSAD,CARNS1,3
CSAD,UPB1,3
AOC2,ALDH2,3
AOC2,ALDH1B1,3
AOC2,ALDH9A1,3
AOC2,ALDH3A2,3
AOC2,ALDH7A1,3
AOC2,ALDH3A1,3
AOC2,ALDH3B1,3
AOC2,ALDH3B2,3
AOC3,ALDH2,3
AOC3,ALDH1B1,3
AOC3,ALDH9A1,3
AOC3,ALDH3A2,3
AOC3,ALDH7A1,3
AOC3,ALDH3A1,3
AOC3,ALDH3B1,3
AOC3,ALDH3B2,3
ALDH2,ABAT,3
ALDH2,CARNS1,3
ALDH2,UPB1,3
ALDH1B1,ABAT,3
ALDH1B1,CARNS1,3
ALDH1B1,UPB1,3
ALDH9A1,ABAT,3
ALDH9A1,CARNS1,3
ALDH9A1,UPB1,3
ALDH3A2,ABAT,3
ALDH3A2,CARNS1,3
ALDH3A2,UPB1,3
ALDH7A1,ABAT,3
ALDH7A1,CARNS1,3
ALDH7A1,UPB1,3
UPB1,ABAT,3
UPB1,CARNS1,3
UPB1,DPYS,3
DPYS,UPB1,3
DPYS,DPYD,3
DPYD,DPYS,3
CNDP1,ABAT,3
CNDP1,CARNS1,3
CNDP1,UPB1,3
ALDH3A1,ABAT,3
ALDH3A1,CARNS1,3
ALDH3A1,UPB1,3
ALDH3B1,ABAT,3
ALDH3B1,CARNS1,3
ALDH3B1,UPB1,3
ALDH3B2,ABAT,3
ALDH3B2,CARNS1,3
ALDH3B2,UPB1,3
CNDP2,ABAT,3
CNDP2,CARNS1,3
CNDP2,UPB1,3
SMOX,ALDH2,3
SMOX,ALDH1B1,3
SMOX,ALDH9A1,3
SMOX,ALDH3A2,3
SMOX,ALDH7A1,3
SMOX,ALDH3A1,3
SMOX,ALDH3B1,3
SMOX,ALDH3B2,3
ACOX1,ACADS,3
ACOX1,ECHS1,3
ACOX1,EHHADH,3
ACOX1,HADHA,3
ACOX3,ACADS,3
ACOX3,ECHS1,3
ACOX3,EHHADH,3
ACOX3,HADHA,3
