from,to,value
IGF1,IGF1R,1
INS,IGF1R,1
GRB10,IGF1R,2
IGF1,INSR,1
INS,INSR,1
GRB10,INSR,2
IGF1R,IRS1,1
INSR,IRS1,1
RPS6KB1,IRS1,2
RPS6KB2,IRS1,2
IRS1,PIK3CA,1
IRS1,PIK3CB,1
IRS1,PIK3CD,1
IRS1,PIK3R1,1
IRS1,PIK3R2,1
IRS1,PIK3R3,1
HRAS,RAF1,1
KRAS,RAF1,1
NRAS,RAF1,1
HRAS,BRAF,1
KRAS,BRAF,1
NRAS,BRAF,1
MAP2K1,MAPK1,1
MAP2K2,MAPK1,1
MAP2K1,MAPK3,1
MAP2K2,MAPK3,1
SOS1,HRAS,1
SOS2,HRAS,1
SOS1,KRAS,1
SOS2,KRAS,1
SOS1,NRAS,1
SOS2,NRAS,1
RAF1,MAP2K1,1
BRAF,MAP2K1,1
RAF1,MAP2K2,1
BRAF,MAP2K2,1
PIK3CA,PDPK1,3
PIK3CB,PDPK1,3
PIK3CD,PDPK1,3
PIK3R1,PDPK1,3
PIK3R2,PDPK1,3
PIK3R3,PDPK1,3
PTEN,PDPK1,3
PDPK1,AKT3,1
PDPK1,AKT1,1
PDPK1,AKT2,1
MAPK1,TSC1,2
MAPK3,TSC1,2
AKT3,TSC1,2
AKT1,TSC1,2
AKT2,TSC1,2
RPS6KA6,TSC1,2
RPS6KA1,TSC1,2
RPS6KA2,TSC1,2
RPS6KA3,TSC1,2
PRKAA1,TSC1,1
PRKAA2,TSC1,1
DDIT4,TSC1,1
IKBKB,TSC1,2
GSK3B,TSC1,1
MAPK1,TSC2,2
MAPK3,TSC2,2
AKT3,TSC2,2
AKT1,TSC2,2
AKT2,TSC2,2
RPS6KA6,TSC2,2
RPS6KA1,TSC2,2
RPS6KA2,TSC2,2
RPS6KA3,TSC2,2
PRKAA1,TSC2,1
PRKAA2,TSC2,1
DDIT4,TSC2,1
IKBKB,TSC2,2
GSK3B,TSC2,1
TSC1,RHEB,2
TSC2,RHEB,2
107080638,RHEB,2
TBC1D7,RHEB,2
MTOR,EIF4EBP1,2
MTOR,LPIN1,1
MTOR,LPIN3,1
MTOR,LPIN2,1
MTOR,RPS6KB1,1
MTOR,RPS6KB2,1
MTOR,RHOA,1
MTOR,PRKCA,1
MTOR,PRKCB,1
MTOR,PRKCG,1
MTOR,SGK1,1
MAPK1,107080638,2
MAPK3,107080638,2
AKT3,107080638,2
AKT1,107080638,2
AKT2,107080638,2
RPS6KA6,107080638,2
RPS6KA1,107080638,2
RPS6KA2,107080638,2
RPS6KA3,107080638,2
PRKAA1,107080638,1
PRKAA2,107080638,1
DDIT4,107080638,1
IKBKB,107080638,2
GSK3B,107080638,1
MAPK1,TBC1D7,2
MAPK3,TBC1D7,2
AKT3,TBC1D7,2
AKT1,TBC1D7,2
AKT2,TBC1D7,2
RPS6KA6,TBC1D7,2
RPS6KA1,TBC1D7,2
RPS6KA2,TBC1D7,2
RPS6KA3,TBC1D7,2
PRKAA1,TBC1D7,1
PRKAA2,TBC1D7,1
DDIT4,TBC1D7,1
IKBKB,TBC1D7,2
GSK3B,TBC1D7,1
RRAGD,RRAGB,3
RRAGC,RRAGB,3
NPRL2,RRAGB,2
NPRL3,RRAGB,2
DEPDC5,RRAGB,2
RNF152,RRAGB,2
SKP2,RRAGB,2
LAMTOR5,RRAGB,1
LAMTOR2,RRAGB,1
LAMTOR4,RRAGB,1
LAMTOR1,RRAGB,1
LAMTOR3,RRAGB,1
FLCN,RRAGB,1
FNIP2,RRAGB,1
FNIP1,RRAGB,1
RRAGD,RRAGA,3
RRAGC,RRAGA,3
NPRL2,RRAGA,2
NPRL3,RRAGA,2
DEPDC5,RRAGA,2
RNF152,RRAGA,2
SKP2,RRAGA,2
LAMTOR5,RRAGA,1
LAMTOR2,RRAGA,1
LAMTOR4,RRAGA,1
LAMTOR1,RRAGA,1
LAMTOR3,RRAGA,1
FLCN,RRAGA,1
FNIP2,RRAGA,1
FNIP1,RRAGA,1
RRAGB,RRAGD,3
RRAGA,RRAGD,3
LAMTOR5,RRAGD,1
LAMTOR2,RRAGD,1
LAMTOR4,RRAGD,1
LAMTOR1,RRAGD,1
LAMTOR3,RRAGD,1
FLCN,RRAGD,1
FNIP2,RRAGD,1
FNIP1,RRAGD,1
RRAGB,RRAGC,3
RRAGA,RRAGC,3
LAMTOR5,RRAGC,1
LAMTOR2,RRAGC,1
LAMTOR4,RRAGC,1
LAMTOR1,RRAGC,1
LAMTOR3,RRAGC,1
FLCN,RRAGC,1
FNIP2,RRAGC,1
FNIP1,RRAGC,1
MAPK1,RPS6KA6,1
MAPK3,RPS6KA6,1
MAPK1,RPS6KA1,1
MAPK3,RPS6KA1,1
MAPK1,RPS6KA2,1
MAPK3,RPS6KA2,1
MAPK1,RPS6KA3,1
MAPK3,RPS6KA3,1
STK11,PRKAA1,1
STRADB,PRKAA1,1
STRADA,PRKAA1,1
CAB39,PRKAA1,1
CAB39L,PRKAA1,1
STK11,PRKAA2,1
STRADB,PRKAA2,1
STRADA,PRKAA2,1
CAB39,PRKAA2,1
CAB39L,PRKAA2,1
IGF1R,GRB2,1
INSR,GRB2,1
EIF4EBP1,EIF4E,2
EIF4EBP1,EIF4E1B,2
EIF4EBP1,EIF4E2,2
MTOR,ULK1,2
MTOR,ULK2,2
RPS6KB1,RPS6,1
RPS6KB2,RPS6,1
TNFRSF1A,IKBKB,1
TNF,TNFRSF1A,1
SLC3A2,SLC7A5,3
SLC7A5,SLC3A2,3
GRB2,SOS1,1
GRB2,SOS2,1
MIOS,NPRL2,2
SEC13,NPRL2,2
WDR59,NPRL2,2
SEH1L,NPRL2,2
WDR24,NPRL2,2
MIOS,NPRL3,2
SEC13,NPRL3,2
WDR59,NPRL3,2
SEH1L,NPRL3,2
WDR24,NPRL3,2
MIOS,DEPDC5,2
SEC13,DEPDC5,2
WDR59,DEPDC5,2
SEH1L,DEPDC5,2
WDR24,DEPDC5,2
SESN2,MIOS,2
CASTOR1,MIOS,2
SESN2,SEC13,2
CASTOR1,SEC13,2
SESN2,WDR59,2
CASTOR1,WDR59,2
SESN2,SEH1L,2
CASTOR1,SEH1L,2
SESN2,WDR24,2
CASTOR1,WDR24,2
ATP6V1G3,LAMTOR5,1
ATP6V1C2,LAMTOR5,1
ATP6V1D,LAMTOR5,1
ATP6V1H,LAMTOR5,1
ATP6V1A,LAMTOR5,1
