from,to,value
KDR,CDC42,1
VEGFA,KDR,1
KDR,PLCG1,1
PLA2G4B,PLCG1,3
PLA2G4E,PLCG1,3
PLA2G4F,PLCG1,3
PLA2G4D,PLCG1,3
PLA2G4A,PLCG1,3
PLA2G4C,PLCG1,3
JMJD7-PLA2G4B,PLCG1,3
PPP3CA,PLCG1,3
PPP3CB,PLCG1,3
PPP3CC,PLCG1,3
PPP3R1,PLCG1,3
PPP3R2,PLCG1,3
PRKCA,PLCG1,3
PRKCB,PLCG1,3
PRKCG,PLCG1,3
SH2D2A,PLCG1,3
NOS3,PLCG1,3
KDR,PLCG2,1
PLA2G4B,PLCG2,3
PLA2G4E,PLCG2,3
PLA2G4F,PLCG2,3
PLA2G4D,PLCG2,3
PLA2G4A,PLCG2,3
PLA2G4C,PLCG2,3
JMJD7-PLA2G4B,PLCG2,3
PPP3CA,PLCG2,3
PPP3CB,PLCG2,3
PPP3CC,PLCG2,3
PPP3R1,PLCG2,3
PPP3R2,PLCG2,3
PRKCA,PLCG2,3
PRKCB,PLCG2,3
PRKCG,PLCG2,3
SH2D2A,PLCG2,3
NOS3,PLCG2,3
PRKCA,SPHK2,1
PRKCB,SPHK2,1
PRKCG,SPHK2,1
PRKCA,SPHK1,1
PRKCB,SPHK1,1
PRKCG,SPHK1,1
NFATC2,PTGS2,1
PLCG1,PLA2G4B,3
PLCG2,PLA2G4B,3
PPP3CA,PLA2G4B,3
PPP3CB,PLA2G4B,3
PPP3CC,PLA2G4B,3
PPP3R1,PLA2G4B,3
PPP3R2,PLA2G4B,3
PRKCA,PLA2G4B,3
PRKCB,PLA2G4B,3
PRKCG,PLA2G4B,3
MAPK1,PLA2G4B,1
MAPK3,PLA2G4B,1
NOS3,PLA2G4B,3
PLCG1,PLA2G4E,3
PLCG2,PLA2G4E,3
PPP3CA,PLA2G4E,3
PPP3CB,PLA2G4E,3
PPP3CC,PLA2G4E,3
PPP3R1,PLA2G4E,3
PPP3R2,PLA2G4E,3
PRKCA,PLA2G4E,3
PRKCB,PLA2G4E,3
PRKCG,PLA2G4E,3
MAPK1,PLA2G4E,1
MAPK3,PLA2G4E,1
NOS3,PLA2G4E,3
PLCG1,PLA2G4F,3
PLCG2,PLA2G4F,3
PPP3CA,PLA2G4F,3
PPP3CB,PLA2G4F,3
PPP3CC,PLA2G4F,3
PPP3R1,PLA2G4F,3
PPP3R2,PLA2G4F,3
PRKCA,PLA2G4F,3
PRKCB,PLA2G4F,3
PRKCG,PLA2G4F,3
MAPK1,PLA2G4F,1
MAPK3,PLA2G4F,1
NOS3,PLA2G4F,3
PLCG1,PLA2G4D,3
PLCG2,PLA2G4D,3
PPP3CA,PLA2G4D,3
PPP3CB,PLA2G4D,3
PPP3CC,PLA2G4D,3
PPP3R1,PLA2G4D,3
PPP3R2,PLA2G4D,3
PRKCA,PLA2G4D,3
PRKCB,PLA2G4D,3
PRKCG,PLA2G4D,3
MAPK1,PLA2G4D,1
MAPK3,PLA2G4D,1
NOS3,PLA2G4D,3
PLCG1,PLA2G4A,3
