from,to,value
CALML6,GRIN1,3
CALML5,GRIN1,3
CALM1,GRIN1,3
CALM2,GRIN1,3
CALM3,GRIN1,3
CALML3,GRIN1,3
CALML4,GRIN1,3
NOS1,GRIN1,3
CACNA1I,GRIN1,3
CACNA1H,GRIN1,3
CACNA1G,GRIN1,3
ITPR1,GRIN1,3
ITPR3,GRIN1,3
RYR1,GRIN1,3
RYR2,GRIN1,3
RYR3,GRIN1,3
GRIA1,GRIN1,1
GRIA2,GRIN1,1
GRIA3,GRIN1,1
GRIA4,GRIN1,1
CACNA1C,GRIN1,3
CACNA1D,GRIN1,3
CALML6,GRIN2A,3
CALML5,GRIN2A,3
CALM1,GRIN2A,3
CALM2,GRIN2A,3
CALM3,GRIN2A,3
CALML3,GRIN2A,3
CALML4,GRIN2A,3
NOS1,GRIN2A,3
CACNA1I,GRIN2A,3
CACNA1H,GRIN2A,3
CACNA1G,GRIN2A,3
ITPR1,GRIN2A,3
ITPR3,GRIN2A,3
RYR1,GRIN2A,3
RYR2,GRIN2A,3
RYR3,GRIN2A,3
GRIA1,GRIN2A,1
GRIA2,GRIN2A,1
GRIA3,GRIN2A,1
GRIA4,GRIN2A,1
CACNA1C,GRIN2A,3
CACNA1D,GRIN2A,3
CALML6,GRIN2B,3
CALML5,GRIN2B,3
CALM1,GRIN2B,3
CALM2,GRIN2B,3
CALM3,GRIN2B,3
CALML3,GRIN2B,3
CALML4,GRIN2B,3
NOS1,GRIN2B,3
CACNA1I,GRIN2B,3
CACNA1H,GRIN2B,3
CACNA1G,GRIN2B,3
ITPR1,GRIN2B,3
ITPR3,GRIN2B,3
RYR1,GRIN2B,3
RYR2,GRIN2B,3
RYR3,GRIN2B,3
GRIA1,GRIN2B,1
GRIA2,GRIN2B,1
GRIA3,GRIN2B,1
GRIA4,GRIN2B,1
CACNA1C,GRIN2B,3
CACNA1D,GRIN2B,3
CALML6,GRIN2C,3
CALML5,GRIN2C,3
CALM1,GRIN2C,3
CALM2,GRIN2C,3
CALM3,GRIN2C,3
CALML3,GRIN2C,3
CALML4,GRIN2C,3
NOS1,GRIN2C,3
CACNA1I,GRIN2C,3
CACNA1H,GRIN2C,3
CACNA1G,GRIN2C,3
ITPR1,GRIN2C,3
ITPR3,GRIN2C,3
RYR1,GRIN2C,3
RYR2,GRIN2C,3
RYR3,GRIN2C,3
GRIA1,GRIN2C,1
GRIA2,GRIN2C,1
GRIA3,GRIN2C,1
GRIA4,GRIN2C,1
CACNA1C,GRIN2C,3
CACNA1D,GRIN2C,3
CALML6,GRIN2D,3
CALML5,GRIN2D,3
CALM1,GRIN2D,3
CALM2,GRIN2D,3
CALM3,GRIN2D,3
CALML3,GRIN2D,3
CALML4,GRIN2D,3
NOS1,GRIN2D,3
CACNA1I,GRIN2D,3
CACNA1H,GRIN2D,3
CACNA1G,GRIN2D,3
ITPR1,GRIN2D,3
ITPR3,GRIN2D,3
RYR1,GRIN2D,3
RYR2,GRIN2D,3
RYR3,GRIN2D,3
GRIA1,GRIN2D,1
GRIA2,GRIN2D,1
GRIA3,GRIN2D,1
GRIA4,GRIN2D,1
CACNA1C,GRIN2D,3
CACNA1D,GRIN2D,3
GRIN1,CALML6,3
GRIN2A,CALML6,3
GRIN2B,CALML6,3
GRIN2C,CALML6,3
GRIN2D,CALML6,3
NOS1,CALML6,3
CACNA1I,CALML6,3
CACNA1H,CALML6,3
CACNA1G,CALML6,3
ITPR1,CALML6,3
ITPR3,CALML6,3
RYR1,CALML6,3
RYR2,CALML6,3
RYR3,CALML6,3
CACNA1C,CALML6,3
CACNA1D,CALML6,3
GRIN1,CALML5,3
GRIN2A,CALML5,3
GRIN2B,CALML5,3
GRIN2C,CALML5,3
GRIN2D,CALML5,3
NOS1,CALML5,3
CACNA1I,CALML5,3
CACNA1H,CALML5,3
CACNA1G,CALML5,3
ITPR1,CALML5,3
ITPR3,CALML5,3
RYR1,CALML5,3
RYR2,CALML5,3
RYR3,CALML5,3
CACNA1C,CALML5,3
CACNA1D,CALML5,3
GRIN1,CALM1,3
GRIN2A,CALM1,3
GRIN2B,CALM1,3
GRIN2C,CALM1,3
GRIN2D,CALM1,3
NOS1,CALM1,3
CACNA1I,CALM1,3
CACNA1H,CALM1,3
CACNA1G,CALM1,3
ITPR1,CALM1,3
ITPR3,CALM1,3
RYR1,CALM1,3
RYR2,CALM1,3
RYR3,CALM1,3
CACNA1C,CALM1,3
CACNA1D,CALM1,3
GRIN1,CALM2,3
GRIN2A,CALM2,3
GRIN2B,CALM2,3
GRIN2C,CALM2,3
GRIN2D,CALM2,3
NOS1,CALM2,3
CACNA1I,CALM2,3
CACNA1H,CALM2,3
CACNA1G,CALM2,3
ITPR1,CALM2,3
ITPR3,CALM2,3
RYR1,CALM2,3
RYR2,CALM2,3
RYR3,CALM2,3
CACNA1C,CALM2,3
CACNA1D,CALM2,3
GRIN1,CALM3,3
GRIN2A,CALM3,3
GRIN2B,CALM3,3
GRIN2C,CALM3,3
GRIN2D,CALM3,3
NOS1,CALM3,3
CACNA1I,CALM3,3
CACNA1H,CALM3,3
CACNA1G,CALM3,3
ITPR1,CALM3,3
ITPR3,CALM3,3
RYR1,CALM3,3
RYR2,CALM3,3
RYR3,CALM3,3
CACNA1C,CALM3,3
CACNA1D,CALM3,3
GRIN1,CALML3,3
GRIN2A,CALML3,3
GRIN2B,CALML3,3
GRIN2C,CALML3,3
GRIN2D,CALML3,3
NOS1,CALML3,3
CACNA1I,CALML3,3
CACNA1H,CALML3,3
CACNA1G,CALML3,3
ITPR1,CALML3,3
ITPR3,CALML3,3
RYR1,CALML3,3
RYR2,CALML3,3
RYR3,CALML3,3
CACNA1C,CALML3,3
CACNA1D,CALML3,3
GRIN1,CALML4,3
GRIN2A,CALML4,3
GRIN2B,CALML4,3
GRIN2C,CALML4,3
GRIN2D,CALML4,3
NOS1,CALML4,3
CACNA1I,CALML4,3
CACNA1H,CALML4,3
CACNA1G,CALML4,3
ITPR1,CALML4,3
ITPR3,CALML4,3
RYR1,CALML4,3
RYR2,CALML4,3
RYR3,CALML4,3
CACNA1C,CALML4,3
CACNA1D,CALML4,3
CALML6,CAMK2A,1
CALML5,CAMK2A,1
CALM1,CAMK2A,1
CALM2,CAMK2A,1
CALM3,CAMK2A,1
CALML3,CAMK2A,1
CALML4,CAMK2A,1
CALML6,CAMK2B,1
CALML5,CAMK2B,1
CALM1,CAMK2B,1
CALM2,CAMK2B,1
CALM3,CAMK2B,1
CALML3,CAMK2B,1
CALML4,CAMK2B,1
CALML6,CAMK2D,1
CALML5,CAMK2D,1
CALM1,CAMK2D,1
CALM2,CAMK2D,1
CALM3,CAMK2D,1
CALML3,CAMK2D,1
CALML4,CAMK2D,1
CALML6,CAMK2G,1
CALML5,CAMK2G,1
CALM1,CAMK2G,1
CALM2,CAMK2G,1
CALM3,CAMK2G,1
CALML3,CAMK2G,1
CALML4,CAMK2G,1
GRIN1,NOS1,3
GRIN2A,NOS1,3
GRIN2B,NOS1,3
GRIN2C,NOS1,3
GRIN2D,NOS1,3
CALML6,NOS1,3
CALML5,NOS1,3
CALM1,NOS1,3
CALM2,NOS1,3
CALM3,NOS1,3
CALML3,NOS1,3
CALML4,NOS1,3
CAMK2A,NOS1,1
CAMK2B,NOS1,1
CAMK2D,NOS1,1
CAMK2G,NOS1,1
GUCY1A2,NOS1,3
GUCY1A1,NOS1,3
GUCY1B1,NOS1,3
CACNA1I,NOS1,3
CACNA1H,NOS1,3
CACNA1G,NOS1,3
ITPR1,NOS1,3
ITPR3,NOS1,3
RYR1,NOS1,3
RYR2,NOS1,3
RYR3,NOS1,3
MAPK1,NOS1,3
MAPK3,NOS1,3
RASD1,NOS1,3
CACNA1C,NOS1,3
CACNA1D,NOS1,3
NOS1AP,NOS1,3
NOS1,GUCY1A2,3
PRKG1,GUCY1A2,3
PRKG2,GUCY1A2,3
MAPK1,GUCY1A2,3
MAPK3,GUCY1A2,3
NOS1,GUCY1A1,3
PRKG1,GUCY1A1,3
PRKG2,GUCY1A1,3
MAPK1,GUCY1A1,3
MAPK3,GUCY1A1,3
NOS1,GUCY1B1,3
PRKG1,GUCY1B1,3
PRKG2,GUCY1B1,3
MAPK1,GUCY1B1,3
MAPK3,GUCY1B1,3
GUCY1A2,PRKG1,3
GUCY1A1,PRKG1,3
GUCY1B1,PRKG1,3
GUCY1A2,PRKG2,3
GUCY1A1,PRKG2,3
GUCY1B1,PRKG2,3
PRKCA,PLCB1,3
PRKCB,PLCB1,3
PRKCG,PLCB1,3
GNB5,PLCB1,1
GNAQ,PLCB1,1
GNB1,PLCB1,1
GNB2,PLCB1,1
GNB3,PLCB1,1
GNG3,PLCB1,1
GNG4,PLCB1,1
GNG5,PLCB1,1
GNG7,PLCB1,1
GNG10,PLCB1,1
GNG11,PLCB1,1
GNGT1,PLCB1,1
GNGT2,PLCB1,1
GNG13,PLCB1,1
GNG2,PLCB1,1
GNG12,PLCB1,1
GNB4,PLCB1,1
GNG8,PLCB1,1
PRKCA,PLCB2,3
PRKCB,PLCB2,3
PRKCG,PLCB2,3
GNB5,PLCB2,1
GNAQ,PLCB2,1
GNB1,PLCB2,1
GNB2,PLCB2,1
GNB3,PLCB2,1
GNG3,PLCB2,1
GNG4,PLCB2,1
GNG5,PLCB2,1
GNG7,PLCB2,1
GNG10,PLCB2,1
GNG11,PLCB2,1
GNGT1,PLCB2,1
GNGT2,PLCB2,1
GNG13,PLCB2,1
GNG2,PLCB2,1
GNG12,PLCB2,1
GNB4,PLCB2,1
GNG8,PLCB2,1
PRKCA,PLCB3,3
PRKCB,PLCB3,3
PRKCG,PLCB3,3
GNB5,PLCB3,1
GNAQ,PLCB3,1
GNB1,PLCB3,1
GNB2,PLCB3,1
GNB3,PLCB3,1
GNG3,PLCB3,1
GNG4,PLCB3,1
GNG5,PLCB3,1
GNG7,PLCB3,1
GNG10,PLCB3,1
GNG11,PLCB3,1
GNGT1,PLCB3,1
GNGT2,PLCB3,1
GNG13,PLCB3,1
GNG2,PLCB3,1
GNG12,PLCB3,1
GNB4,PLCB3,1
GNG8,PLCB3,1
PRKCA,PLCB4,3
PRKCB,PLCB4,3
PRKCG,PLCB4,3
GNB5,PLCB4,1
GNAQ,PLCB4,1
GNB1,PLCB4,1
GNB2,PLCB4,1
GNB3,PLCB4,1
GNG3,PLCB4,1
GNG4,PLCB4,1
GNG5,PLCB4,1
GNG7,PLCB4,1
GNG10,PLCB4,1
GNG11,PLCB4,1
GNGT1,PLCB4,1
GNGT2,PLCB4,1
GNG13,PLCB4,1
GNG2,PLCB4,1
GNG12,PLCB4,1
GNB4,PLCB4,1
GNG8,PLCB4,1
PLCB1,PRKCA,3
PLCB2,PRKCA,3
PLCB3,PRKCA,3
PLCB4,PRKCA,3
PLCB1,PRKCB,3
PLCB2,PRKCB,3
PLCB3,PRKCB,3
PLCB4,PRKCB,3
PLCB1,PRKCG,3
PLCB2,PRKCG,3
PLCB3,PRKCG,3
PLCB4,PRKCG,3
MTNR1B,GNB5,1
ADCYAP1R1,GNB5,1
GNAS,GNB5,3
RASD1,GNB5,2
MTNR1A,GNB5,1
MTNR1B,GNAQ,1
MTNR1B,GNB1,1
ADCYAP1R1,GNB1,1
GNAS,GNB1,3
RASD1,GNB1,2
MTNR1A,GNB1,1
MTNR1B,GNB2,1
ADCYAP1R1,GNB2,1
GNAS,GNB2,3
RASD1,GNB2,2
MTNR1A,GNB2,1
MTNR1B,GNB3,1
ADCYAP1R1,GNB3,1
GNAS,GNB3,3
RASD1,GNB3,2
MTNR1A,GNB3,1
MTNR1B,GNG3,1
ADCYAP1R1,GNG3,1
GNAS,GNG3,3
RASD1,GNG3,2
MTNR1A,GNG3,1
MTNR1B,GNG4,1
ADCYAP1R1,GNG4,1
GNAS,GNG4,3
RASD1,GNG4,2
MTNR1A,GNG4,1
MTNR1B,GNG5,1
ADCYAP1R1,GNG5,1
GNAS,GNG5,3
RASD1,GNG5,2
MTNR1A,GNG5,1
MTNR1B,GNG7,1
ADCYAP1R1,GNG7,1
GNAS,GNG7,3
