from,to,value
STK11,PRKAG2,1
CAMKK2,PRKAG2,1
STRADB,PRKAG2,1
STRADA,PRKAG2,1
CAB39,PRKAG2,1
CAB39L,PRKAG2,1
ADRA1A,PRKAG2,1
MAP3K7,PRKAG2,1
CIDEA,PRKAG2,2
STK11,PRKAG3,1
CAMKK2,PRKAG3,1
STRADB,PRKAG3,1
STRADA,PRKAG3,1
CAB39,PRKAG3,1
CAB39L,PRKAG3,1
ADRA1A,PRKAG3,1
MAP3K7,PRKAG3,1
CIDEA,PRKAG3,2
STK11,PRKAA1,1
CAMKK2,PRKAA1,1
STRADB,PRKAA1,1
STRADA,PRKAA1,1
CAB39,PRKAA1,1
CAB39L,PRKAA1,1
ADRA1A,PRKAA1,1
MAP3K7,PRKAA1,1
CIDEA,PRKAA1,2
STK11,PRKAA2,1
CAMKK2,PRKAA2,1
STRADB,PRKAA2,1
STRADA,PRKAA2,1
CAB39,PRKAA2,1
CAB39L,PRKAA2,1
ADRA1A,PRKAA2,1
MAP3K7,PRKAA2,1
CIDEA,PRKAA2,2
STK11,PRKAB1,1
CAMKK2,PRKAB1,1
STRADB,PRKAB1,1
STRADA,PRKAB1,1
CAB39,PRKAB1,1
CAB39L,PRKAB1,1
ADRA1A,PRKAB1,1
MAP3K7,PRKAB1,1
CIDEA,PRKAB1,2
STK11,PRKAB2,1
CAMKK2,PRKAB2,1
STRADB,PRKAB2,1
STRADA,PRKAB2,1
CAB39,PRKAB2,1
CAB39L,PRKAB2,1
ADRA1A,PRKAB2,1
MAP3K7,PRKAB2,1
CIDEA,PRKAB2,2
STK11,PRKAG1,1
CAMKK2,PRKAG1,1
STRADB,PRKAG1,1
STRADA,PRKAG1,1
CAB39,PRKAG1,1
CAB39L,PRKAG1,1
ADRA1A,PRKAG1,1
MAP3K7,PRKAG1,1
CIDEA,PRKAG1,2
INS,INSR,1
PDPK1,AKT3,1
PDPK1,AKT1,1
PDPK1,AKT2,1
IRS1,PIK3CA,1
IRS4,PIK3CA,1
IRS2,PIK3CA,1
IRS1,PIK3CB,1
IRS4,PIK3CB,1
IRS2,PIK3CB,1
IRS1,PIK3CD,1
IRS4,PIK3CD,1
IRS2,PIK3CD,1
IRS1,PIK3R1,1
IRS4,PIK3R1,1
IRS2,PIK3R1,1
IRS1,PIK3R2,1
IRS4,PIK3R2,1
IRS2,PIK3R2,1
IRS1,PIK3R3,1
IRS4,PIK3R3,1
IRS2,PIK3R3,1
PIK3CA,PDPK1,3
PIK3CB,PDPK1,3
PIK3CD,PDPK1,3
PIK3R1,PDPK1,3
PIK3R2,PDPK1,3
PIK3R3,PDPK1,3
INSR,IRS1,1
IGF1R,IRS1,1
INSR,IRS4,1
IGF1R,IRS4,1
INSR,IRS2,1
IGF1R,IRS2,1
IGF1,IGF1R,1
FOXO3,FOXO1,3
FOXO1,FOXO3,3
PPARGC1A,SLC2A4,1
RAB10,SLC2A4,1
RAB8A,SLC2A4,1
RAB14,SLC2A4,1
RAB2A,SLC2A4,1
RAB11B,SLC2A4,1
PRKAG2,PPARGC1A,1
PRKAG3,PPARGC1A,1
PRKAA1,PPARGC1A,1
PRKAA2,PPARGC1A,1
PRKAB1,PPARGC1A,1
PRKAB2,PPARGC1A,1
PRKAG1,PPARGC1A,1
CRTC2,PPARGC1A,1
ADIPOQ,ADIPOR1,1
ADIPOQ,ADIPOR2,1
ADIPOR1,CAMKK2,3
ADIPOR2,CAMKK2,3
PRKAG2,ACACA,2
PRKAG3,ACACA,2
PRKAA1,ACACA,2
PRKAA2,ACACA,2
PRKAB1,ACACA,2
PRKAB2,ACACA,2
PRKAG1,ACACA,2
SREBF1,ACACA,1
PRKAG2,PFKFB1,1
PRKAG3,PFKFB1,1
PRKAA1,PFKFB1,1
PRKAA2,PFKFB1,1
PRKAB1,PFKFB1,1
PRKAB2,PFKFB1,1
PRKAG1,PFKFB1,1
PRKAG2,PFKFB2,1
PRKAG3,PFKFB2,1
PRKAA1,PFKFB2,1
PRKAA2,PFKFB2,1
PRKAB1,PFKFB2,1
PRKAB2,PFKFB2,1
PRKAG1,PFKFB2,1
PRKAG2,PFKFB3,1
PRKAG3,PFKFB3,1
PRKAA1,PFKFB3,1
PRKAA2,PFKFB3,1
PRKAB1,PFKFB3,1
PRKAB2,PFKFB3,1
PRKAG1,PFKFB3,1
PRKAG2,PFKFB4,1
PRKAG3,PFKFB4,1
PRKAA1,PFKFB4,1
PRKAA2,PFKFB4,1
PRKAB1,PFKFB4,1
PRKAB2,PFKFB4,1
PRKAG1,PFKFB4,1
PRKAG2,TSC2,1
PRKAG3,TSC2,1
PRKAA1,TSC2,1
PRKAA2,TSC2,1
PRKAB1,TSC2,1
PRKAB2,TSC2,1
PRKAG1,TSC2,1
AKT3,TSC2,2
AKT1,TSC2,2
AKT2,TSC2,2
PRKAG2,MTOR,2
PRKAG3,MTOR,2
PRKAA1,MTOR,2
PRKAA2,MTOR,2
PRKAB1,MTOR,2
PRKAB2,MTOR,2
PRKAG1,MTOR,2
RHEB,MTOR,1
PRKAG2,RPTOR,2
PRKAG3,RPTOR,2
PRKAA1,RPTOR,2
PRKAA2,RPTOR,2
PRKAB1,RPTOR,2
PRKAB2,RPTOR,2
PRKAG1,RPTOR,2
RHEB,RPTOR,1
PRKAG2,AKT1S1,2
PRKAG3,AKT1S1,2
PRKAA1,AKT1S1,2
PRKAA2,AKT1S1,2
PRKAB1,AKT1S1,2
PRKAB2,AKT1S1,2
PRKAG1,AKT1S1,2
RHEB,AKT1S1,1
PRKAG2,GYS1,2
PRKAG3,GYS1,2
PRKAA1,GYS1,2
PRKAA2,GYS1,2
PRKAB1,GYS1,2
PRKAB2,GYS1,2
PRKAG1,GYS1,2
PRKAG2,GYS2,2
