from,to,value
PRKCB,FCGR1A,3
IGH,FCGR1A,3
PRKCB,FCGR2A,3
IGH,FCGR2A,3
PRKCB,FCGR3A,3
IGH,FCGR3A,3
PRKCB,FCGR3B,3
IGH,FCGR3B,3
PRKCB,FCGR2C,3
IGH,FCGR2C,3
CR1,C3,3
CR1L,C3,3
ITGAM,C3,3
ITGB2,C3,3
FCGR1A,PRKCB,3
FCGR2A,PRKCB,3
FCGR3A,PRKCB,3
FCGR3B,PRKCB,3
FCGR2C,PRKCB,3
PRKCB,NCF1,1
CYBB,NCF1,3
CYBA,NCF1,3
C3,CR1,3
C3,CR1L,3
C3,ITGAM,3
C3,ITGB2,3
IFNGR1,IFNG,3
IFNGR2,IFNG,3
PTPN6,JAK1,2
IFNGR1,JAK1,3
IFNGR2,JAK1,3
PTPN6,JAK2,2
IFNGR1,JAK2,3
IFNGR2,JAK2,3
JAK1,STAT1,1
JAK2,STAT1,1
STAT1,HLA-DMA,1
STAT1,HLA-DMB,1
STAT1,HLA-DOA,1
STAT1,HLA-DOB,1
STAT1,HLA-DPA1,1
STAT1,HLA-DPB1,1
STAT1,HLA-DQA1,1
STAT1,HLA-DQA2,1
STAT1,HLA-DQB1,1
STAT1,HLA-DRA,1
STAT1,HLA-DRB1,1
STAT1,HLA-DRB3,1
STAT1,HLA-DRB4,1
STAT1,HLA-DRB5,1
TLR2,MYD88,1
TLR4,MYD88,1
NFKB1,NFKBIA,3
RELA,NFKBIA,3
TAB1,NFKBIA,1
TAB2,NFKBIA,1
MAP3K7,NFKBIA,1
NFKB1,NFKBIB,3
RELA,NFKBIB,3
TAB1,NFKBIB,1
TAB2,NFKBIB,1
MAP3K7,NFKBIB,1
NFKBIA,NFKB1,3
NFKBIB,NFKB1,3
NFKBIA,RELA,3
NFKBIB,RELA,3
NFKB1,IL1A,1
RELA,IL1A,1
STAT1,IL12A,1
NFKB1,IL12A,1
RELA,IL12A,1
MAPK14,IL12A,1
MAPK11,IL12A,1
MAPK13,IL12A,1
MAPK12,IL12A,1
STAT1,IL12B,1
NFKB1,IL12B,1
RELA,IL12B,1
MAPK14,IL12B,1
MAPK11,IL12B,1
MAPK13,IL12B,1
MAPK12,IL12B,1
STAT1,NOS2,1
TLR2,NOS2,1
TLR4,NOS2,1
IL4,NOS2,2
IL10,NOS2,2
TGFB1,NOS2,2
TGFB2,NOS2,2
TGFB3,NOS2,2
MAPK14,NOS2,1
MAPK11,NOS2,1
MAPK13,NOS2,1
MAPK12,NOS2,1
NFKB1,TNF,1
RELA,TNF,1
NFKB1,IL1B,1
RELA,IL1B,1
EEF1A1,PTPN6,1
EEF1A2,PTPN6,1
PRKCB,MAPK1,1
PTPN6,MAPK1,2
PRKCB,MAPK3,1
PTPN6,MAPK3,2
MAPK1,ELK1,1
MAPK3,ELK1,1
ELK1,FOS,1
NCF1,CYBB,3
NCF2,CYBB,3
NCF4,CYBB,3
IFNGR1,MARCKSL1,1
IFNGR2,MARCKSL1,1
FCGR1A,MAPK14,1
FCGR2A,MAPK14,1
FCGR3A,MAPK14,1
FCGR3B,MAPK14,1
FCGR2C,MAPK14,1
FCGR1A,MAPK11,1
FCGR2A,MAPK11,1
FCGR3A,MAPK11,1
FCGR3B,MAPK11,1
FCGR2C,MAPK11,1
FCGR1A,MAPK13,1
FCGR2A,MAPK13,1
FCGR3A,MAPK13,1
FCGR3B,MAPK13,1
FCGR2C,MAPK13,1
FCGR1A,MAPK12,1
FCGR2A,MAPK12,1
FCGR3A,MAPK12,1
FCGR3B,MAPK12,1
FCGR2C,MAPK12,1
MYD88,IRAK1,1
MYD88,IRAK4,1
IRAK1,TRAF6,1
IRAK4,TRAF6,1
TRAF6,TAB1,1
TRAF6,TAB2,1
TRAF6,MAP3K7,1
IFNG,IFNGR1,3
JAK1,IFNGR1,3
JAK2,IFNGR1,3
IFNG,IFNGR2,3
JAK1,IFNGR2,3
JAK2,IFNGR2,3
MAPK1,JUN,1
MAPK3,JUN,1
NCF1,CYBA,3
NCF2,CYBA,3
NCF4,CYBA,3
PRKCB,NCF2,1
CYBB,NCF2,3
CYBA,NCF2,3
PRKCB,NCF4,1
CYBB,NCF4,3
CYBA,NCF4,3
FCGR1A,PTGS2,1
FCGR2A,PTGS2,1
FCGR3A,PTGS2,1
FCGR3B,PTGS2,1
FCGR2C,PTGS2,1
CR1,PTGS2,1
CR1L,PTGS2,1
ITGAM,PTGS2,1
ITGB2,PTGS2,1
FCGR1A,IGH,3
FCGR2A,IGH,3
FCGR3A,IGH,3
FCGR3B,IGH,3
FCGR2C,IGH,3
