from,to,value
GCK,PKLR,3
HK1,PKLR,3
HK2,PKLR,3
HK3,PKLR,3
HKDC1,PKLR,3
GCK,PKM,3
HK1,PKM,3
HK2,PKM,3
HK3,PKM,3
HKDC1,PKM,3
IRS1,PIK3CA,1
IRS4,PIK3CA,1
IRS2,PIK3CA,1
IRS1,PIK3CB,1
IRS4,PIK3CB,1
IRS2,PIK3CB,1
IRS1,PIK3CD,1
IRS4,PIK3CD,1
IRS2,PIK3CD,1
IRS1,PIK3R1,1
IRS4,PIK3R1,1
IRS2,PIK3R1,1
IRS1,PIK3R2,1
IRS4,PIK3R2,1
IRS2,PIK3R2,1
IRS1,PIK3R3,1
IRS4,PIK3R3,1
IRS2,PIK3R3,1
PIK3CA,SLC2A4,3
PIK3CB,SLC2A4,3
PIK3CD,SLC2A4,3
PIK3R1,SLC2A4,3
PIK3R2,SLC2A4,3
PIK3R3,SLC2A4,3
ADIPOQ,SLC2A4,3
INSR,IRS1,1
SOCS4,IRS1,2
SOCS1,IRS1,2
SOCS2,IRS1,2
SOCS3,IRS1,2
MAPK1,IRS1,3
MAPK3,IRS1,3
IKBKB,IRS1,2
PRKCD,IRS1,2
PRKCE,IRS1,2
MAPK8,IRS1,2
MAPK9,IRS1,2
MAPK10,IRS1,2
PRKCZ,IRS1,2
MTOR,IRS1,2
INS,INSR,1
SOCS4,INSR,2
SOCS1,INSR,2
SOCS2,INSR,2
SOCS3,INSR,2
PDX1,INS,1
CACNA1A,INS,3
CACNA1B,INS,3
CACNA1C,INS,3
CACNA1D,INS,3
CACNA1E,INS,3
CACNA1G,INS,3
MAFA,INS,1
INSR,MAPK1,3
INSR,MAPK3,3
TNF,IKBKB,3
INSR,IRS4,1
SOCS4,IRS4,2
SOCS1,IRS4,2
SOCS2,IRS4,2
SOCS3,IRS4,2
MAPK1,IRS4,3
MAPK3,IRS4,3
IKBKB,IRS4,2
PRKCD,IRS4,2
PRKCE,IRS4,2
MAPK8,IRS4,2
MAPK9,IRS4,2
MAPK10,IRS4,2
PRKCZ,IRS4,2
MTOR,IRS4,2
INSR,IRS2,1
SOCS4,IRS2,2
SOCS1,IRS2,2
SOCS2,IRS2,2
SOCS3,IRS2,2
MAPK1,IRS2,3
MAPK3,IRS2,3
IKBKB,IRS2,2
PRKCD,IRS2,2
PRKCE,IRS2,2
MAPK8,IRS2,2
MAPK9,IRS2,2
MAPK10,IRS2,2
PRKCZ,IRS2,2
MTOR,IRS2,2
TNF,MAPK8,3
TNF,MAPK9,3
TNF,MAPK10,3
PIK3CA,PRKCZ,3
PIK3CB,PRKCZ,3
PIK3CD,PRKCZ,3
PIK3R1,PRKCZ,3
PIK3R2,PRKCZ,3
PIK3R3,PRKCZ,3
INS,CACNA1A,3
KCNJ11,CACNA1A,3
ABCC8,CACNA1A,3
INS,CACNA1B,3
KCNJ11,CACNA1B,3
ABCC8,CACNA1B,3
INS,CACNA1C,3
KCNJ11,CACNA1C,3
ABCC8,CACNA1C,3
INS,CACNA1D,3
KCNJ11,CACNA1D,3
ABCC8,CACNA1D,3
INS,CACNA1E,3
KCNJ11,CACNA1E,3
ABCC8,CACNA1E,3
INS,CACNA1G,3
KCNJ11,CACNA1G,3
ABCC8,CACNA1G,3
PIK3CA,MTOR,3
PIK3CB,MTOR,3
PIK3CD,MTOR,3
PIK3R1,MTOR,3
PIK3R2,MTOR,3
PIK3R3,MTOR,3
TNF,MTOR,3
