from,to,value
CCL3L3,CCR1,1
CCL3,CCR1,1
CCL3L1,CCR1,1
CCL5,CCR1,1
CCL7,CCR1,1
CCL8,CCR1,1
CCL13,CCR1,1
CCL14,CCR1,1
CCL15,CCR1,1
CCL16,CCR1,1
CCL23,CCR1,1
CCL7,CCR2,1
CCL8,CCR2,1
CCL13,CCR2,1
CCL27,CCR2,1
CCL2,CCR2,1
CCL5,CCR3,1
CCL7,CCR3,1
CCL13,CCR3,1
CCL15,CCR3,1
CCL23,CCR3,1
CCL27,CCR3,1
CCL26,CCR3,1
CCL28,CCR3,1
CCL11,CCR3,1
CCL24,CCR3,1
CCL5,CCR4,1
CCL17,CCR4,1
CCL22,CCR4,1
CCL3L3,CCR5,1
CCL3,CCR5,1
CCL3L1,CCR5,1
CCL5,CCR5,1
CCL8,CCR5,1
CCL4L1,CCR5,1
CCL4,CCR5,1
CCL4L2,CCR5,1
CCL20,CCR6,1
CCL1,CCR8,1
CCL25,CCR9,1
CCL25,ACKR4,1
CCL19,ACKR4,1
CCL21,ACKR4,1
CCL27,CCR10,1
CCL28,CCR10,1
CCL19,CCR7,1
CCL21,CCR7,1
CX3CL1,CX3CR1,1
CXCL1,CXCR1,1
CXCL2,CXCR1,1
CXCL3,CXCR1,1
CXCL8,CXCR1,1
CXCL6,CXCR1,1
CXCL5,CXCR1,1
CXCL1,CXCR2,1
CXCL2,CXCR2,1
CXCL3,CXCR2,1
CXCL8,CXCR2,1
CXCL6,CXCR2,1
CXCL5,CXCR2,1
PPBP,CXCR2,1
CXCL13,CXCR3,1
CXCL10,CXCR3,1
CXCL9,CXCR3,1
PF4,CXCR3,1
PF4V1,CXCR3,1
CXCL11,CXCR3,1
CXCL13,CXCR5,1
CXCL12,ACKR3,1
CXCL12,CXCR4,1
XCL1,XCR1,1
XCL2,XCR1,1
IL10,IL10RB,1
IL10,IL10RA,1
IL6,IL6R,1
IL2,IL2RG,1
IL2,IL2RB,1
IL2,IL2RA,1
IL37,IL18RAP,1
IL18,IL18RAP,1
IL37,IL18R1,1
IL18,IL18R1,1
IL24,IL20RB,1
IL19,IL20RB,1
IL20,IL20RB,1
IL24,IL20RA,1
IL19,IL20RA,1
IL20,IL20RA,1
IL24,IL22RA1,1
IL20,IL22RA1,1
IL34,CSF1R,1
CSF1,CSF1R,1
TNFSF14,TNFRSF14,1
LTA,TNFRSF14,1
TNFSF14,LTBR,1
LTA,LTBR,1
LTA,TNFRSF1A,1
TNF,TNFRSF1A,1
LTA,TNFRSF1B,1
TNF,TNFRSF1B,1
TNFSF10,TNFRSF10D,1
TNFSF10,TNFRSF10C,1
TNFSF10,TNFRSF10B,1
TNFSF10,TNFRSF10A,1
