from,to,value
MIRLET7A1,CDC25A,2
MIRLET7A2,CDC25A,2
MIRLET7A3,CDC25A,2
MIRLET7B,CDC25A,2
MIRLET7D,CDC25A,2
MIRLET7E,CDC25A,2
MIRLET7F1,CDC25A,2
MIRLET7F2,CDC25A,2
MIRLET7G,CDC25A,2
MIRLET7I,CDC25A,2
MIRLET7A1,CDC25B,2
MIRLET7A2,CDC25B,2
MIRLET7A3,CDC25B,2
MIRLET7B,CDC25B,2
MIRLET7D,CDC25B,2
MIRLET7E,CDC25B,2
MIRLET7F1,CDC25B,2
MIRLET7F2,CDC25B,2
MIRLET7G,CDC25B,2
MIRLET7I,CDC25B,2
MIRLET7A1,CDC25C,2
MIRLET7A2,CDC25C,2
MIRLET7A3,CDC25C,2
MIRLET7B,CDC25C,2
MIRLET7D,CDC25C,2
MIRLET7E,CDC25C,2
MIRLET7F1,CDC25C,2
MIRLET7F2,CDC25C,2
MIRLET7G,CDC25C,2
MIRLET7I,CDC25C,2
MIR133A1,BCL2L2,2
MIR133A2,BCL2L2,2
MIR133B,BCL2L2,2
MIR126,VEGFA,2
MIRLET7A1,CDK6,2
MIRLET7A2,CDK6,2
MIRLET7A3,CDK6,2
MIRLET7B,CDK6,2
MIRLET7D,CDK6,2
MIRLET7E,CDK6,2
MIRLET7F1,CDK6,2
MIRLET7F2,CDK6,2
MIRLET7G,CDK6,2
MIRLET7I,CDK6,2
MIR34A,CDK6,2
MIR124-1,CDK6,2
MIR124-2,CDK6,2
MIR124-3,CDK6,2
MIR137,CDK6,2
MIR34B,CDK6,2
MIRLET7A1,KRAS,2
MIRLET7A2,KRAS,2
MIRLET7A3,KRAS,2
MIRLET7B,KRAS,2
MIRLET7D,KRAS,2
MIRLET7E,KRAS,2
MIRLET7F1,KRAS,2
MIRLET7F2,KRAS,2
MIRLET7G,KRAS,2
MIRLET7I,KRAS,2
MIR18A,KRAS,2
MIR125A,KRAS,2
MIR125B1,KRAS,2
MIR125B2,KRAS,2
MIR143,KRAS,2
MIRLET7C,KRAS,2
MIR126,CRK,2
MIR126,CRKL,2
MIRLET7A1,MIR107,2
MIRLET7A2,MIR107,2
MIRLET7A3,MIR107,2
MIRLET7B,MIR107,2
MIRLET7D,MIR107,2
MIRLET7E,MIR107,2
MIRLET7F1,MIR107,2
MIRLET7F2,MIR107,2
MIRLET7G,MIR107,2
MIRLET7I,MIR107,2
MIR29A,DNMT3A,2
MIR29B1,DNMT3A,2
MIR29B2,DNMT3A,2
MIR29C,DNMT3A,2
MIR143,DNMT3A,2
MIR29A,DNMT3B,2
MIR29B1,DNMT3B,2
MIR29B2,DNMT3B,2
MIR29C,DNMT3B,2
MIRLET7A1,HMGA2,2
MIRLET7A2,HMGA2,2
MIRLET7A3,HMGA2,2
MIRLET7B,HMGA2,2
MIRLET7D,HMGA2,2
MIRLET7E,HMGA2,2
MIRLET7F1,HMGA2,2
MIRLET7F2,HMGA2,2
MIRLET7G,HMGA2,2
MIRLET7I,HMGA2,2
MIRLET7C,HMGA2,2
