from,to,weight
SRR,AGXT,3
SRR,CBS,3
SRR,CBS,3
SRR,SHMT1,3
SRR,SHMT2,3
SRR,SDS,3
SRR,SDSL,3
CHDH,ALDH7A1,3
ALDH7A1,BHMT,3
BHMT,DMGDH,3
AGXT,SRR,3
AGXT,CBS,3
AGXT,CBS,3
AGXT,GATM,3
AGXT,SHMT1,3
AGXT,SHMT2,3
AGXT,SDS,3
AGXT,SDSL,3
AGXT,DAO,3
AGXT,GCAT,3
AGXT,GLDC,3
AGXT,ALAS1,3
AGXT,ALAS2,3
AGXT,GRHPR,3
AGXT,GNMT,3
AGXT,AGXT2,3
PHGDH,PSAT1,3
DMGDH,PIPOX,3
DMGDH,SARDH,3
DMGDH,GNMT,3
CBS,CTH,3
CBS,CTH,3
GATM,GAMT,3
PSAT1,PHGDH,3
PSAT1,PSPH,3
PIPOX,AGXT,3
PIPOX,GATM,3
PIPOX,SHMT1,3
PIPOX,SHMT2,3
PIPOX,DAO,3
PIPOX,GCAT,3
PIPOX,GLDC,3
PIPOX,ALAS1,3
PIPOX,ALAS2,3
PIPOX,GNMT,3
PIPOX,AGXT2,3
SARDH,AGXT,3
SARDH,GATM,3
SARDH,SHMT1,3
SARDH,SHMT2,3
SARDH,DAO,3
SARDH,GCAT,3
SARDH,GLDC,3
SARDH,ALAS1,3
SARDH,ALAS2,3
SARDH,GNMT,3
SARDH,AGXT2,3
PSPH,SRR,3
PSPH,AGXT,3
PSPH,CBS,3
PSPH,CBS,3
PSPH,SHMT1,3
PSPH,SHMT2,3
PSPH,SDS,3
PSPH,SDSL,3
SHMT1,SRR,3
SHMT1,AGXT,3
SHMT1,CBS,3
SHMT1,CBS,3
SHMT1,GATM,3
SHMT1,SDS,3
SHMT1,SDSL,3
SHMT1,DAO,3
SHMT1,GCAT,3
SHMT1,GLDC,3
SHMT1,ALAS1,3
SHMT1,ALAS2,3
SHMT1,GNMT,3
SHMT1,AGXT2,3
SHMT2,SRR,3
SHMT2,AGXT,3
SHMT2,CBS,3
SHMT2,CBS,3
SHMT2,GATM,3
SHMT2,SDS,3
SHMT2,SDSL,3
SHMT2,DAO,3
SHMT2,GCAT,3
SHMT2,GLDC,3
SHMT2,ALAS1,3
SHMT2,ALAS2,3
SHMT2,GNMT,3
SHMT2,AGXT2,3
DAO,AGXT,3
DAO,AGXT2,3
GCAT,AGXT,3
GCAT,GATM,3
GCAT,SHMT1,3
GCAT,SHMT2,3
GCAT,DAO,3
GCAT,GLDC,3
GCAT,ALAS1,3
GCAT,ALAS2,3
GCAT,GNMT,3
GCAT,AGXT2,3
GLDC,AMT,3
GRHPR,AGXT,3
GRHPR,GLYCTK,3
AMT,SHMT1,3
AMT,SHMT2,3
AMT,DLD,3
DLD,GLDC,3
GNMT,AGXT,3
GNMT,GATM,3
GNMT,PIPOX,3
GNMT,SARDH,3
GNMT,SHMT1,3
GNMT,SHMT2,3
GNMT,DAO,3
GNMT,GCAT,3
GNMT,GLDC,3
GNMT,ALAS1,3
GNMT,ALAS2,3
GNMT,AGXT2,3
AGXT2,AGXT,3
AGXT2,GATM,3
AGXT2,SHMT1,3
AGXT2,SHMT2,3
AGXT2,DAO,3
AGXT2,GCAT,3
AGXT2,GLDC,3
AGXT2,ALAS1,3
AGXT2,ALAS2,3
AGXT2,GNMT,3
GLYCTK,PGAM4,3
GLYCTK,PGAM1,3
GLYCTK,PGAM2,3
GLYCTK,BPGM,3
PGAM4,PHGDH,3
PGAM1,PHGDH,3
PGAM2,PHGDH,3
BPGM,PHGDH,3
