from,to,value
FN1,ITGB1,1
FYB1,ITGB1,3
SKAP2,ITGB1,3
ITGB1,SRC,1
ITGA4,SRC,1
ITGA5,SRC,1
WIPF2,WASL,1
WIPF3,WASL,1
WIPF1,WASL,1
RAC1,WASL,1
RAC2,WASL,1
RAC3,WASL,1
WASL,ARPC5,1
WAS,ARPC5,1
WASF2,ARPC5,1
WASL,ARPC4,1
WAS,ARPC4,1
WASF2,ARPC4,1
WASL,ARPC3,1
WAS,ARPC3,1
WASF2,ARPC3,1
WASL,ARPC1B,1
WAS,ARPC1B,1
WASF2,ARPC1B,1
WASL,ACTR3,1
WAS,ACTR3,1
WASF2,ACTR3,1
WASL,ACTR2,1
WAS,ACTR2,1
WASF2,ACTR2,1
WASL,ARPC2,1
WAS,ARPC2,1
WASF2,ARPC2,1
WASL,ARPC1A,1
WAS,ARPC1A,1
WASF2,ARPC1A,1
WASL,ACTR3B,1
WAS,ACTR3B,1
WASF2,ACTR3B,1
WASL,ACTR3C,1
WAS,ACTR3C,1
WASF2,ACTR3C,1
WASL,ARPC5L,1
WAS,ARPC5L,1
WASF2,ARPC5L,1
SRC,BCAR1,1
PTK2B,BCAR1,1
PTK2,BCAR1,1
PXN,BCAR1,1
SRC,CRK,1
PTK2B,CRK,1
PTK2,CRK,1
PXN,CRK,1
SRC,CRKL,1
PTK2B,CRKL,1
PTK2,CRKL,1
PXN,CRKL,1
BCAR1,DOCK1,1
CRK,DOCK1,1
CRKL,DOCK1,1
RHOG,DOCK1,1
ARF6,PIP5K1C,1
RAC1,PIP5K1C,1
RAC2,PIP5K1C,1
RAC3,PIP5K1C,1
ARF6,PIP5K1A,1
RAC1,PIP5K1A,1
RAC2,PIP5K1A,1
RAC3,PIP5K1A,1
ARF6,PIP5K1B,1
RAC1,PIP5K1B,1
RAC2,PIP5K1B,1
RAC3,PIP5K1B,1
ARPC5,ACTB,1
ARPC4,ACTB,1
ARPC3,ACTB,1
ARPC1B,ACTB,1
ACTR3,ACTB,1
ACTR2,ACTB,1
ARPC2,ACTB,1
ARPC1A,ACTB,1
ACTR3B,ACTB,1
ACTR3C,ACTB,1
ARPC5L,ACTB,1
ARPC5,ACTG1,1
ARPC4,ACTG1,1
ARPC3,ACTG1,1
ARPC1B,ACTG1,1
ACTR3,ACTG1,1
ACTR2,ACTG1,1
ARPC2,ACTG1,1
ARPC1A,ACTG1,1
ACTR3B,ACTG1,1
ACTR3C,ACTG1,1
ARPC5L,ACTG1,1
ITGB1,PTK2B,1
ITGA4,PTK2B,1
ITGA5,PTK2B,1
ITGB1,PTK2,1
ITGA4,PTK2,1
ITGA5,PTK2,1
SRC,PXN,1
PTK2B,PXN,1
PTK2,PXN,1
SRC,GIT2,1
PXN,GIT2,1
SRC,ARHGEF7,1
PXN,ARHGEF7,1
CDC42,WAS,1
ARHGEF12,RHOA,1
ARHGEF28,RHOA,1
ARHGEF1,RHOA,1
RHOA,ROCK1,1
RHOA,ROCK2,1
RAC1,BAIAP2,1
RAC2,BAIAP2,1
RAC3,BAIAP2,1
BAIAP2,WASF2,1
PKN1,MEFV,2
PKN2,MEFV,2
RPS6KA6,MEFV,2
RPS6KA1,MEFV,2
RPS6KA2,MEFV,2
RPS6KA3,MEFV,2
NLRC4,PYCARD,1
MEFV,PYCARD,1
NLRP3,PYCARD,1
NLRC4,CASP1,1
MEFV,CASP1,1
LIMK1,CASP1,1
NLRP3,CASP1,1
PYCARD,IL18,1
CASP1,IL18,1
PYCARD,IL1B,1
CASP1,IL1B,1
FOS,IL1B,1
JUN,IL1B,1
NFKB1,IL1B,1
RELA,IL1B,1
RAC1,LIMK1,1
RHOA,PKN1,1
RHOA,PKN2,1
PTK2B,ARHGEF12,1
PTK2,ARHGEF12,1
GNAQ,ARHGEF12,1
PTK2B,ARHGEF28,1
PTK2,ARHGEF28,1
GNAQ,ARHGEF28,1
PTK2B,ARHGEF1,1
PTK2,ARHGEF1,1
GNAQ,ARHGEF1,1
FN1,ITGA4,1
FYB1,ITGA4,3
SKAP2,ITGA4,3
FN1,ITGA5,1
FYB1,ITGA5,3
SKAP2,ITGA5,3
ITGB1,FYB1,3
ITGA4,FYB1,3
ITGA5,FYB1,3
ITGB1,SKAP2,3
ITGA4,SKAP2,3
ITGA5,SKAP2,3
LCK,ZAP70,1
CD4,ZAP70,1
CD8A,ZAP70,1
CD8B,ZAP70,1
CD8B2,ZAP70,1
ZAP70,LCP2,1
ZAP70,LAT,1
LCP2,PLCG1,1
LAT,PLCG1,1
LCP2,NFATC1,1
LAT,NFATC1,1
VAV3,NFATC1,1
VAV1,NFATC1,1
VAV2,NFATC1,1
LCP2,NFATC2,1
LAT,NFATC2,1
VAV3,NFATC2,1
VAV1,NFATC2,1
VAV2,NFATC2,1
LCP2,NFATC3,1
LAT,NFATC3,1
VAV3,NFATC3,1
VAV1,NFATC3,1
VAV2,NFATC3,1
NFATC1,IL2,1
NFATC2,IL2,1
NFATC3,IL2,1
FOS,IL2,1
JUN,IL2,1
NFKB1,IL2,1
RELA,IL2,1
NFATC1,IL10,1
NFATC2,IL10,1
NFATC3,IL10,1
FOS,IL10,1
JUN,IL10,1
NFKB1,IL10,1
RELA,IL10,1
ZAP70,VAV3,1
ZAP70,VAV1,1
ZAP70,VAV2,1
LCP2,FOS,1
LAT,FOS,1
VAV3,FOS,1
VAV1,FOS,1
VAV2,FOS,1
MAPK14,FOS,1
MAPK11,FOS,1
MAPK13,FOS,1
MAPK12,FOS,1
MAPK8,FOS,1
MAPK9,FOS,1
MAPK10,FOS,1
MAPK1,FOS,1
MAPK3,FOS,1
LCP2,JUN,1
LAT,JUN,1
VAV3,JUN,1
VAV1,JUN,1
VAV2,JUN,1
MAPK14,JUN,1
MAPK11,JUN,1
MAPK13,JUN,1
MAPK12,JUN,1
MAPK8,JUN,1
MAPK9,JUN,1
MAPK10,JUN,1
MAPK1,JUN,1
MAPK3,JUN,1
DOCK1,RAC1,1
ELMO2,RAC1,1
ELMO1,RAC1,1
FCGR2A,RAC1,1
MAP3K7,IKBKB,1
TAB1,IKBKB,1
TAB2,IKBKB,1
TRAF2,MAP3K7,1
TRAF6,MAP3K7,1
MAP2K3,MAPK14,1
MAP2K6,MAPK14,1
MAP2K3,MAPK11,1
MAP2K6,MAPK11,1
MAP2K3,MAPK13,1
MAP2K6,MAPK13,1
MAP2K3,MAPK12,1
MAP2K6,MAPK12,1
MAP2K7,MAPK8,1
MAP2K4,MAPK8,1
MAP2K7,MAPK9,1
MAP2K4,MAPK9,1
MAP2K7,MAPK10,1
MAP2K4,MAPK10,1
IRAK1,TRAF2,1
IRAK4,TRAF2,1
IRAK1,TRAF6,1
IRAK4,TRAF6,1
TRAF2,TAB1,1
TRAF6,TAB1,1
TRAF2,TAB2,1
TRAF6,TAB2,1
IKBKB,NFKBIA,1
CHUK,NFKBIA,1
IKBKG,NFKBIA,1
NFKB1,NFKBIA,3
RELA,NFKBIA,3
MAP3K7,MAP2K7,1
TAB1,MAP2K7,1
TAB2,MAP2K7,1
TICAM1,MAP2K7,1
MAP3K7,MAP2K4,1
TAB1,MAP2K4,1
TAB2,MAP2K4,1
TICAM1,MAP2K4,1
LCP2,NFKB1,1
LAT,NFKB1,1
VAV3,NFKB1,1
VAV1,NFKB1,1
VAV2,NFKB1,1
NFKBIA,NFKB1,3
LCP2,RELA,1
LAT,RELA,1
VAV3,RELA,1
VAV1,RELA,1
VAV2,RELA,1
NFKBIA,RELA,3
MAP3K7,MAP2K3,1
TAB1,MAP2K3,1
TAB2,MAP2K3,1
TICAM1,MAP2K3,1
MAP3K7,MAP2K6,1
TAB1,MAP2K6,1
TAB2,MAP2K6,1
TICAM1,MAP2K6,1
TLR4,MYD88,1
MYD88,IRAK1,1
MYD88,IRAK4,1
MAP2K1,MAPK1,1
MAP2K2,MAPK1,1
MAP2K1,MAPK3,1
MAP2K2,MAPK3,1
MAP3K7,MAP2K1,1
TAB1,MAP2K1,1
TAB2,MAP2K1,1
TICAM1,MAP2K1,1
MAP3K7,MAP2K2,1
TAB1,MAP2K2,1
TAB2,MAP2K2,1
TICAM1,MAP2K2,1
FOS,CXCL8,1
JUN,CXCL8,1
NFKB1,CXCL8,1
RELA,CXCL8,1
FOS,TNF,1
JUN,TNF,1
NFKB1,TNF,1
RELA,TNF,1
FOS,IFNB1,1
JUN,IFNB1,1
IRF3,IFNB1,1
FOS,IL6,1
JUN,IL6,1
NFKB1,IL6,1
RELA,IL6,1
TLR4,PIK3CA,1
TLR4,PIK3CB,1
TLR4,PIK3CD,1
TLR4,PIK3R1,1
TLR4,PIK3R2,1
TLR4,PIK3R3,1
PIK3CA,AKT3,3
PIK3CB,AKT3,3
PIK3CD,AKT3,3
PIK3R1,AKT3,3
PIK3R2,AKT3,3
PIK3R3,AKT3,3
PIK3CA,AKT1,3
PIK3CB,AKT1,3
PIK3CD,AKT1,3
PIK3R1,AKT1,3
PIK3R2,AKT1,3
PIK3R3,AKT1,3
PIK3CA,AKT2,3
PIK3CB,AKT2,3
PIK3CD,AKT2,3
PIK3R1,AKT2,3
PIK3R2,AKT2,3
PIK3R3,AKT2,3
AKT3,GSK3B,2
AKT1,GSK3B,2
AKT2,GSK3B,2
AKT3,CCL2,1
AKT1,CCL2,1
AKT2,CCL2,1
TLR4,TICAM1,1
TICAM1,TBK1,1
TBK1,IRF3,1
ITGB1,RHOG,1
ITGA4,RHOG,1
ITGA5,RHOG,1
BCAR1,ELMO2,1
CRK,ELMO2,1
CRKL,ELMO2,1
RHOG,ELMO2,1
BCAR1,ELMO1,1
CRK,ELMO1,1
CRKL,ELMO1,1
RHOG,ELMO1,1
GIT2,CDC42,1
ARHGEF7,CDC42,1
IGH,FCGR2A,1
DOCK1,RAC2,1
ELMO2,RAC2,1
ELMO1,RAC2,1
FCGR2A,RAC2,1
DOCK1,RAC3,1
ELMO2,RAC3,1
ELMO1,RAC3,1
FCGR2A,RAC3,1
