from,to,value
PRKACA,ADCY1,1
PRKACB,ADCY1,1
PRKACG,ADCY1,1
GNB5,ADCY1,2
GNAI1,ADCY1,2
GNAI2,ADCY1,2
GNAI3,ADCY1,2
GNAO1,ADCY1,2
GNB1,ADCY1,2
GNB2,ADCY1,2
GNB3,ADCY1,2
GNG3,ADCY1,2
GNG4,ADCY1,2
GNG5,ADCY1,2
GNG7,ADCY1,2
GNG10,ADCY1,2
GNG11,ADCY1,2
GNGT1,ADCY1,2
GNGT2,ADCY1,2
GNG13,ADCY1,2
GNG2,ADCY1,2
GNG12,ADCY1,2
GNB4,ADCY1,2
GNG8,ADCY1,2
PRKACA,ADCY2,1
PRKACB,ADCY2,1
PRKACG,ADCY2,1
GNB5,ADCY2,2
GNAI1,ADCY2,2
GNAI2,ADCY2,2
GNAI3,ADCY2,2
GNAO1,ADCY2,2
GNB1,ADCY2,2
GNB2,ADCY2,2
GNB3,ADCY2,2
GNG3,ADCY2,2
GNG4,ADCY2,2
GNG5,ADCY2,2
GNG7,ADCY2,2
GNG10,ADCY2,2
GNG11,ADCY2,2
GNGT1,ADCY2,2
GNGT2,ADCY2,2
GNG13,ADCY2,2
GNG2,ADCY2,2
GNG12,ADCY2,2
GNB4,ADCY2,2
GNG8,ADCY2,2
PRKACA,ADCY3,1
PRKACB,ADCY3,1
PRKACG,ADCY3,1
GNB5,ADCY3,2
GNAI1,ADCY3,2
GNAI2,ADCY3,2
GNAI3,ADCY3,2
GNAO1,ADCY3,2
GNB1,ADCY3,2
GNB2,ADCY3,2
GNB3,ADCY3,2
GNG3,ADCY3,2
GNG4,ADCY3,2
GNG5,ADCY3,2
GNG7,ADCY3,2
GNG10,ADCY3,2
GNG11,ADCY3,2
GNGT1,ADCY3,2
GNGT2,ADCY3,2
GNG13,ADCY3,2
GNG2,ADCY3,2
GNG12,ADCY3,2
GNB4,ADCY3,2
GNG8,ADCY3,2
PRKACA,ADCY5,1
PRKACB,ADCY5,1
PRKACG,ADCY5,1
GNB5,ADCY5,2
GNAI1,ADCY5,2
GNAI2,ADCY5,2
GNAI3,ADCY5,2
GNAO1,ADCY5,2
GNB1,ADCY5,2
GNB2,ADCY5,2
GNB3,ADCY5,2
GNG3,ADCY5,2
GNG4,ADCY5,2
GNG5,ADCY5,2
GNG7,ADCY5,2
GNG10,ADCY5,2
GNG11,ADCY5,2
GNGT1,ADCY5,2
GNGT2,ADCY5,2
GNG13,ADCY5,2
GNG2,ADCY5,2
GNG12,ADCY5,2
GNB4,ADCY5,2
GNG8,ADCY5,2
PRKACA,ADCY6,1
PRKACB,ADCY6,1
PRKACG,ADCY6,1
GNB5,ADCY6,2
GNAI1,ADCY6,2
GNAI2,ADCY6,2
GNAI3,ADCY6,2
GNAO1,ADCY6,2
GNB1,ADCY6,2
GNB2,ADCY6,2
GNB3,ADCY6,2
GNG3,ADCY6,2
GNG4,ADCY6,2
GNG5,ADCY6,2
GNG7,ADCY6,2
GNG10,ADCY6,2
GNG11,ADCY6,2
GNGT1,ADCY6,2
GNGT2,ADCY6,2
GNG13,ADCY6,2
GNG2,ADCY6,2
GNG12,ADCY6,2
GNB4,ADCY6,2
GNG8,ADCY6,2
PRKACA,ADCY7,1
PRKACB,ADCY7,1
PRKACG,ADCY7,1
GNB5,ADCY7,2
GNAI1,ADCY7,2
GNAI2,ADCY7,2
GNAI3,ADCY7,2
GNAO1,ADCY7,2
GNB1,ADCY7,2
GNB2,ADCY7,2
GNB3,ADCY7,2
GNG3,ADCY7,2
GNG4,ADCY7,2
GNG5,ADCY7,2
GNG7,ADCY7,2
GNG10,ADCY7,2
GNG11,ADCY7,2
GNGT1,ADCY7,2
GNGT2,ADCY7,2
GNG13,ADCY7,2
GNG2,ADCY7,2
GNG12,ADCY7,2
GNB4,ADCY7,2
GNG8,ADCY7,2
PRKACA,ADCY8,1
PRKACB,ADCY8,1
PRKACG,ADCY8,1
GNB5,ADCY8,2
GNAI1,ADCY8,2
GNAI2,ADCY8,2
GNAI3,ADCY8,2
GNAO1,ADCY8,2
GNB1,ADCY8,2
GNB2,ADCY8,2
GNB3,ADCY8,2
GNG3,ADCY8,2
GNG4,ADCY8,2
GNG5,ADCY8,2
GNG7,ADCY8,2
GNG10,ADCY8,2
GNG11,ADCY8,2
GNGT1,ADCY8,2
GNGT2,ADCY8,2
GNG13,ADCY8,2
GNG2,ADCY8,2
GNG12,ADCY8,2
GNB4,ADCY8,2
GNG8,ADCY8,2
PRKACA,ADCY9,1
PRKACB,ADCY9,1
PRKACG,ADCY9,1
GNB5,ADCY9,2
GNAI1,ADCY9,2
GNAI2,ADCY9,2
GNAI3,ADCY9,2
GNAO1,ADCY9,2
GNB1,ADCY9,2
GNB2,ADCY9,2
GNB3,ADCY9,2
GNG3,ADCY9,2
GNG4,ADCY9,2
GNG5,ADCY9,2
GNG7,ADCY9,2
GNG10,ADCY9,2
GNG11,ADCY9,2
GNGT1,ADCY9,2
GNGT2,ADCY9,2
GNG13,ADCY9,2
GNG2,ADCY9,2
GNG12,ADCY9,2
GNB4,ADCY9,2
GNG8,ADCY9,2
PRKACA,ADCY4,1
PRKACB,ADCY4,1
PRKACG,ADCY4,1
GNB5,ADCY4,2
GNAI1,ADCY4,2
GNAI2,ADCY4,2
GNAI3,ADCY4,2
GNAO1,ADCY4,2
GNB1,ADCY4,2
GNB2,ADCY4,2
GNB3,ADCY4,2
GNG3,ADCY4,2
GNG4,ADCY4,2
GNG5,ADCY4,2
GNG7,ADCY4,2
GNG10,ADCY4,2
GNG11,ADCY4,2
GNGT1,ADCY4,2
GNGT2,ADCY4,2
GNG13,ADCY4,2
GNG2,ADCY4,2
GNG12,ADCY4,2
GNB4,ADCY4,2
GNG8,ADCY4,2
ADCY1,PRKACA,3
ADCY2,PRKACA,3
ADCY3,PRKACA,3
ADCY5,PRKACA,3
ADCY6,PRKACA,3
ADCY7,PRKACA,3
ADCY8,PRKACA,3
ADCY9,PRKACA,3
ADCY4,PRKACA,3
ADCY1,PRKACB,3
ADCY2,PRKACB,3
ADCY3,PRKACB,3
ADCY5,PRKACB,3
ADCY6,PRKACB,3
ADCY7,PRKACB,3
ADCY8,PRKACB,3
ADCY9,PRKACB,3
ADCY4,PRKACB,3
ADCY1,PRKACG,3
ADCY2,PRKACG,3
ADCY3,PRKACG,3
ADCY5,PRKACG,3
ADCY6,PRKACG,3
ADCY7,PRKACG,3
ADCY8,PRKACG,3
ADCY9,PRKACG,3
ADCY4,PRKACG,3
CHRM1,GNA11,1
CHRM5,GNA11,1
CHRM3,GNA11,1
CHRM1,GNAQ,1
CHRM5,GNAQ,1
CHRM3,GNAQ,1
GNA11,PLCB1,1
GNAQ,PLCB1,1
GNA11,PLCB2,1
GNAQ,PLCB2,1
GNA11,PLCB3,1
GNAQ,PLCB3,1
GNA11,PLCB4,1
GNAQ,PLCB4,1
PLCB1,ITPR1,3
PLCB2,ITPR1,3
PLCB3,ITPR1,3
PLCB4,ITPR1,3
PLCB1,ITPR2,3
PLCB2,ITPR2,3
PLCB3,ITPR2,3
PLCB4,ITPR2,3
PLCB1,ITPR3,3
PLCB2,ITPR3,3
PLCB3,ITPR3,3
PLCB4,ITPR3,3
PLCB1,PRKCA,3
PLCB2,PRKCA,3
PLCB3,PRKCA,3
PLCB4,PRKCA,3
PLCB1,PRKCB,3
PLCB2,PRKCB,3
PLCB3,PRKCB,3
PLCB4,PRKCB,3
PLCB1,PRKCG,3
PLCB2,PRKCG,3
