from,to,weight
BDH1,OXCT1,3
BDH1,OXCT2,3
BDH1,AACS,3
OXCT1,BDH1,3
OXCT1,AACS,3
OXCT1,HMGCS1,3
OXCT1,HMGCS2,3
OXCT1,ACAT1,3
OXCT1,ACAT2,3
OXCT1,EHHADH,3
OXCT1,HADH,3
OXCT2,BDH1,3
OXCT2,AACS,3
OXCT2,HMGCS1,3
OXCT2,HMGCS2,3
OXCT2,ACAT1,3
OXCT2,ACAT2,3
OXCT2,EHHADH,3
OXCT2,HADH,3
AACS,OXCT1,3
AACS,OXCT2,3
AACS,HMGCS1,3
AACS,HMGCS2,3
AACS,ACAT1,3
AACS,ACAT2,3
AACS,EHHADH,3
AACS,HADH,3
HMGCL,BDH1,3
HMGCL,OXCT1,3
HMGCL,OXCT2,3
HMGCL,AACS,3
HMGCL,HMGCS1,3
HMGCL,HMGCS2,3
HMGCL,ACAT1,3
HMGCL,ACAT2,3
HMGCLL1,BDH1,3
HMGCLL1,OXCT1,3
HMGCLL1,OXCT2,3
HMGCLL1,AACS,3
HMGCLL1,HMGCS1,3
HMGCLL1,HMGCS2,3
HMGCLL1,ACAT1,3
HMGCLL1,ACAT2,3
HMGCS1,HMGCL,3
HMGCS1,HMGCLL1,3
HMGCS2,HMGCL,3
HMGCS2,HMGCLL1,3
ACAT1,OXCT1,3
ACAT1,OXCT2,3
ACAT1,HMGCS1,3
ACAT1,HMGCS2,3
ACAT1,EHHADH,3
ACAT1,HADH,3
ACAT2,OXCT1,3
ACAT2,OXCT2,3
ACAT2,HMGCS1,3
ACAT2,HMGCS2,3
ACAT2,EHHADH,3
ACAT2,HADH,3
EHHADH,OXCT1,3
EHHADH,OXCT2,3
EHHADH,HMGCS1,3
EHHADH,HMGCS2,3
EHHADH,ACAT1,3
EHHADH,ACAT2,3
EHHADH,HADH,3
EHHADH,ECHS1,3
EHHADH,HADHA,3
HADH,OXCT1,3
HADH,OXCT2,3
HADH,HMGCS1,3
HADH,HMGCS2,3
HADH,ACAT1,3
HADH,ACAT2,3
HADH,EHHADH,3
HADH,ECHS1,3
HADH,HADHA,3
ECHS1,EHHADH,3
ECHS1,HADH,3
HADHA,EHHADH,3
HADHA,HADH,3
ABAT,ALDH5A1,3
GAD1,ABAT,3
GAD2,ABAT,3
ACADS,EHHADH,3
ACADS,ECHS1,3
ACADS,HADHA,3
ACSM1,ACADS,3
ACSM2A,ACADS,3
ACSM6,ACADS,3
ACSM4,ACADS,3
ACSM2B,ACADS,3
ACSM5,ACADS,3
ACSM3,ACADS,3
